feature,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,sample_nunique,sample_constant_dev,longitudinal_nunique,longitudinal_constant
ngrams_4_top4_frac,34,2,ngrams_3_top4_frac|ngrams_4_top4_frac,0.9618313939374322,50494,False,195,False
bytes_last10pct,35,2,bytes_last10pct|packets_last10pct,0.9914499344543527,57733,False,195,False
packets_last10pct,35,2,bytes_last10pct|packets_last10pct,0.9914499344543527,47297,False,195,False
bytes_last25pct,36,2,bytes_last25pct|packets_last25pct,0.9981307352441373,57895,False,195,False
packets_last25pct,36,2,bytes_last25pct|packets_last25pct,0.9981307352441373,55049,False,195,False
pps_w1_burst_count,37,2,pps_w1_burst_count|pps_w2_burst_count,0.9634219363997094,39,False,20,False
pps_w2_burst_count,37,2,pps_w1_burst_count|pps_w2_burst_count,0.9634219363997094,22,False,13,False
pps_w1_max,38,2,pps_w1_max|pps_w1_std,0.9752354786900899,3896,False,187,False
pps_w1_std,38,2,pps_w1_max|pps_w1_std,0.9752354786900899,57858,False,195,False
pps_w2_max,39,2,pps_w2_max|pps_w2_std,0.9829613345623845,5680,False,184,False
pps_w2_std,39,2,pps_w2_max|pps_w2_std,0.9829613345623845,57766,False,195,False
pps_w5_min,40,2,pps_w5_min|tam_5s_in_min,0.972065950766201,949,False,56,False
tam_5s_in_min,40,2,pps_w5_min|tam_5s_in_min,0.972065950766201,516,False,38,False
sizes_median,41,2,sizes_median|sizes_p50,1.0,151,False,5,False
sizes_p50,41,2,sizes_median|sizes_p50,1.0,151,False,5,False
tam_3s_in_max,42,2,tam_3s_in_max|tam_3s_in_std,0.9873518285545675,3297,False,186,False
tam_3s_in_std,42,2,tam_3s_in_max|tam_3s_in_std,0.9873518285545675,56376,False,194,False
tam_3s_out_max,43,2,tam_3s_out_max|tam_3s_out_std,0.988675427407293,4929,False,186,False
tam_3s_out_std,43,2,tam_3s_out_max|tam_3s_out_std,0.988675427407293,56570,False,195,False
tam_4s_in_max,44,2,tam_4s_in_max|tam_4s_in_std,0.989257134361626,3676,False,189,False
tam_4s_in_std,44,2,tam_4s_in_max|tam_4s_in_std,0.989257134361626,54715,False,195,False
tam_4s_out_max,45,2,tam_4s_out_max|tam_4s_out_std,0.9904765268453141,5497,False,192,False
tam_4s_out_std,45,2,tam_4s_out_max|tam_4s_out_std,0.9904765268453141,55404,False,195,False
tam_5s_out_max,46,2,tam_5s_out_max|tam_5s_out_std,0.9894966510819506,6014,False,187,False
tam_5s_out_std,46,2,tam_5s_out_max|tam_5s_out_std,0.9894966510819506,52183,False,194,False
times_mean,47,2,times_mean|times_median,0.9657317645535614,57916,False,195,False
times_median,47,2,times_mean|times_median,0.9657317645535614,57858,False,195,False
burst_durations_cv,48,1,burst_durations_cv,1.0,57915,False,195,False
burst_durations_entropy,49,1,burst_durations_entropy,1.0,53988,False,193,False
burst_durations_longest_ratio,50,1,burst_durations_longest_ratio,1.0,57914,False,195,False
burst_durations_max,51,1,burst_durations_max,1.0,57533,False,195,False
burst_durations_mean,52,1,burst_durations_mean,1.0,57916,False,195,False
burst_durations_median,53,1,burst_durations_median,1.0,372,False,1,True
burst_durations_min,54,1,burst_durations_min,1.0,22,False,1,True
burst_durations_p25,55,1,burst_durations_p25,1.0,14,False,1,True
burst_durations_p50,56,1,burst_durations_p50,1.0,372,False,1,True
burst_durations_p90,57,1,burst_durations_p90,1.0,41827,False,195,False
burst_durations_prop_gt_1s,58,1,burst_durations_prop_gt_1s,1.0,9866,False,166,False
burst_durations_prop_gt_2s,59,1,burst_durations_prop_gt_2s,1.0,6614,False,14,False
burst_durations_prop_gt_5s,60,1,burst_durations_prop_gt_5s,1.0,938,False,2,False
burst_durations_sum,61,1,burst_durations_sum,1.0,57873,False,195,False
burst_histogram_3_5,62,1,burst_histogram_3_5,1.0,573,False,140,False
burst_histogram_6_10,63,1,burst_histogram_6_10,1.0,197,False,41,False
burst_histogram_gt10,64,1,burst_histogram_gt10,1.0,137,False,18,False
burst_max,65,1,burst_max,1.0,1419,False,33,False
burst_size_p25,66,1,burst_size_p25,1.0,4,False,1,True
burst_size_p50,67,1,burst_size_p50,1.0,132,False,1,True
burst_size_p75,68,1,burst_size_p75,1.0,416,False,1,True
burst_size_p90,69,1,burst_size_p90,1.0,610,False,1,True
burst_std,70,1,burst_std,1.0,57767,False,195,False
cumul_in_diffs_median,71,1,cumul_in_diffs_median,1.0,3,False,1,True
cumul_in_diffs_p25,72,1,cumul_in_diffs_p25,1.0,2,False,1,True
cumul_in_diffs_p50,73,1,cumul_in_diffs_p50,1.0,3,False,1,True
cumul_in_min,74,1,cumul_in_min,1.0,2,False,1,True
cumul_interp_in_min,75,1,cumul_interp_in_min,1.0,2,False,1,True
cumul_interp_in_pct_increasing,76,1,cumul_interp_in_pct_increasing,1.0,30,False,4,False
cumul_interp_out_min,77,1,cumul_interp_out_min,1.0,2,False,1,True
cumul_interp_out_pct_increasing,78,1,cumul_interp_out_pct_increasing,1.0,98,False,2,False
cumul_out_diffs_median,79,1,cumul_out_diffs_median,1.0,3,False,1,True
cumul_out_diffs_p50,80,1,cumul_out_diffs_p50,1.0,3,False,1,True
cumul_out_diffs_p75,81,1,cumul_out_diffs_p75,1.0,2,False,1,True
cumul_out_diffs_p90,82,1,cumul_out_diffs_p90,1.0,2,False,1,True
cumul_out_min,83,1,cumul_out_min,1.0,2,False,1,True
global_packet_count_25,84,1,global_packet_count_25,1.0,544,False,89,False
global_packet_count_50,85,1,global_packet_count_50,1.0,1517,False,127,False
global_packet_count_75,86,1,global_packet_count_75,1.0,5332,False,187,False
global_packet_count_90,87,1,global_packet_count_90,1.0,34116,False,195,False
iat_max,88,1,iat_max,1.0,57561,False,195,False
iat_mean_in,89,1,iat_mean_in,1.0,57916,False,195,False
iat_mean_out,90,1,iat_mean_out,1.0,57911,False,195,False
iat_min,91,1,iat_min,1.0,197,False,8,False
iat_size_p25,92,1,iat_size_p25,1.0,1492,False,54,False
iat_size_p75,93,1,iat_size_p75,1.0,21191,False,178,False
iat_size_p90,94,1,iat_size_p90,1.0,53953,False,195,False
iat_std_in,95,1,iat_std_in,1.0,57916,False,195,False
iat_std_out,96,1,iat_std_out,1.0,57911,False,195,False
iat_var,97,1,iat_var,1.0,57916,False,195,False
max_burst_in,98,1,max_burst_in,1.0,1420,False,18,False
max_burst_out,99,1,max_burst_out,1.0,144,False,27,False
mean_burst_size_in,100,1,mean_burst_size_in,1.0,38252,False,194,False
mean_burst_size_out,101,1,mean_burst_size_out,1.0,48482,False,195,False
ngrams_2_entropy,102,1,ngrams_2_entropy,1.0,57669,False,195,False
ngrams_2_top1_frac,103,1,ngrams_2_top1_frac,1.0,48519,False,193,False
ngrams_2_top3_frac,104,1,ngrams_2_top3_frac,1.0,50527,False,195,False
ngrams_2_top4_frac,105,1,ngrams_2_top4_frac,1.0,46268,False,195,False
ngrams_2_unique,106,1,ngrams_2_unique,1.0,2,False,1,True
ngrams_3_top1_frac,107,1,ngrams_3_top1_frac,1.0,49964,False,193,False
ngrams_3_top5_count,108,1,ngrams_3_top5_count,1.0,930,False,133,False
ngrams_3_top5_frac,109,1,ngrams_3_top5_frac,1.0,45129,False,195,False
ngrams_3_topk_cumfrac,110,1,ngrams_3_topk_cumfrac,1.0,48439,False,195,False
ngrams_3_unique,111,1,ngrams_3_unique,1.0,6,False,1,True
ngrams_4_top1_frac,112,1,ngrams_4_top1_frac,1.0,50727,False,194,False
ngrams_4_top5_count,113,1,ngrams_4_top5_count,1.0,1914,False,166,False
ngrams_4_top5_frac,114,1,ngrams_4_top5_frac,1.0,49592,False,195,False
