fold,context_days,seed,train_loss,n_train_queries,n_train_context_dates,fit_seconds,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,1,11,0.9432007117075928,9976,7,3.1195988450199366,0.5386904761904762,0.5153112704441917,0.8702380952380953,0.6815506499486421,4.1119047619047615
A_EARLY_TO_MIDDLE,1,42,0.9119516540656304,9976,7,2.543247929075733,0.5728174603174603,0.5544011169246814,0.8740079365079365,0.7038111438502609,4.1253472222222225
A_EARLY_TO_MIDDLE,1,73,0.9466566121759851,9976,7,2.5128637730376795,0.5527777777777778,0.5268374011588334,0.8755952380952381,0.6935375793773377,4.0134920634920634
A_EARLY_TO_MIDDLE,3,11,0.8165068720745964,9976,7,2.6179533220129088,0.5844246031746032,0.5660721536866313,0.888343253968254,0.7157656194621822,3.8540674603174603
A_EARLY_TO_MIDDLE,3,42,0.8269893295626786,9976,7,2.6123041310347617,0.5723710317460318,0.5575913033854983,0.882093253968254,0.707192196924082,3.9706845238095236
A_EARLY_TO_MIDDLE,3,73,0.8310633458215041,9976,7,2.2548660050379112,0.5910714285714286,0.5776006644968152,0.8863095238095238,0.7211624372534093,3.736061507936508
A_EARLY_TO_MIDDLE,5,11,0.772092953933748,9976,7,2.2493221110198647,0.6120535714285714,0.5951208364449725,0.897420634920635,0.7361346501720528,3.634325396825397
A_EARLY_TO_MIDDLE,5,42,0.7956134658351648,9976,7,2.4366101229097694,0.5984126984126984,0.5791635972321252,0.8878968253968254,0.7259935006612995,3.776984126984127
A_EARLY_TO_MIDDLE,5,73,0.7862358758854885,9976,7,2.5871623839484528,0.6014384920634921,0.5860287801525734,0.8895833333333333,0.7283363475128249,3.6881944444444446
A_EARLY_TO_MIDDLE,7,11,0.7776518765039317,9976,7,2.593451672932133,0.6227678571428571,0.609645914471476,0.8976190476190476,0.7424329981702692,3.704265873015873
A_EARLY_TO_MIDDLE,7,42,0.7667039041650133,9976,7,2.5573048329679295,0.6034226190476191,0.5905652945733897,0.8875992063492063,0.7274992001075173,3.8663690476190475
A_EARLY_TO_MIDDLE,7,73,0.7771431062409375,9976,7,2.5548216259339824,0.6060019841269841,0.5920844904082816,0.8906746031746032,0.7305247106978175,3.7012896825396826
B_EARLY_MIDDLE_TO_LATE,5,11,0.6678377236436162,30136,21,7.830406827968545,0.6767606388680458,0.6572790264630478,0.9429735234215886,0.7913550206733769,1.9431879086718833
B_EARLY_MIDDLE_TO_LATE,5,42,0.6492209518686796,30136,21,7.805701147997752,0.6891949833851431,0.6757061039387028,0.9567477757530282,0.8022643319271675,1.865794833315468
B_EARLY_MIDDLE_TO_LATE,5,73,0.6633726911016554,30136,21,7.812181013985537,0.6890877907599957,0.6714180357525561,0.9514417408082324,0.8000638296532286,1.8943080716046736
