fold,model,context_days,skipped_train_dates,accuracy,macro_f1,top5_accuracy,mrr
A_EARLY_TO_MIDDLE,ORDERED_LTD,5,,0.6437996031746032,0.6259690917200287,0.901140873015873,0.756640721033059
A_EARLY_TO_MIDDLE,NOPOS_LTD,5,7.0,0.6448412698412699,0.6321897488009328,0.9016369047619047,0.7572371445964388
A_EARLY_TO_MIDDLE,ORDERED_FUSION,5,,0.746031746031746,0.7353918978121747,0.9248015873015873,0.8260335646447896
A_EARLY_TO_MIDDLE,NOPOS_FUSION,5,7.0,0.7464781746031746,0.736291101403241,0.9220734126984127,0.8259433798514052
B_EARLY_MIDDLE_TO_LATE,ORDERED_LTD,5,,0.7152963876085325,0.6988125941218016,0.9572301425661914,0.8172153776601012
B_EARLY_MIDDLE_TO_LATE,NOPOS_LTD,5,7.0,0.7104727194768999,0.6951261386549634,0.9521920891842641,0.8141204509945095
B_EARLY_MIDDLE_TO_LATE,ORDERED_FUSION,5,,0.7979954979097438,0.783428885514458,0.9693429092078465,0.8701053324025053
B_EARLY_MIDDLE_TO_LATE,NOPOS_FUSION,5,7.0,0.7927430592775218,0.7775603735737939,0.9674134419551935,0.8669637198258008
