model,fold,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,top5_mean,top5_std,mrr_mean,mrr_std,mean_true_rank_mean
base_mlp,A_EARLY_TO_MIDDLE,3,0.6155753968253969,0.0004885346131844049,0.6060989665777354,0.0007334285859738909,0.8890211640211639,0.0004473462056372047,0.7352556924124573,0.00045081186766933944,3.816550925925926
base_mlp,B_EARLY_MIDDLE_TO_LATE,3,0.6812805945617608,0.004011616269211356,0.668839897978474,0.0031622324387272005,0.9322721263443742,6.188769098403302e-05,0.7900756371960515,0.0020273547085481913,2.1173044627862936
ltd_temporal_pair,A_EARLY_TO_MIDDLE,3,0.61073082010582,0.010503855317282937,0.5974318998177157,0.01060488587717432,0.8919642857142858,0.005132910047728814,0.7334856363252014,0.007894928218352398,3.7573082010582013
ltd_temporal_pair,B_EARLY_MIDDLE_TO_LATE,3,0.6820488083753172,0.01602452068255561,0.6640994512816637,0.016672025592116307,0.951906242183871,0.005191469901546258,0.7963108454236852,0.01045494511704409,1.8968270982956372
