fold,age_minus_v2_accuracy,age_minus_v2_macro_f1,age_minus_v2_top5_accuracy,age_minus_v2_mrr,age_minus_v2_mean_true_rank,age_only_correct_n,v2_only_correct_n,net_age_correct_n
A_EARLY_TO_MIDDLE,-0.0024305555555556024,-0.002078904999257558,-0.005853174603174693,-0.002732444172837911,0.052430555555555536,289,338,-49
B_EARLY_MIDDLE_TO_LATE,-0.004073319755600768,-0.005507364286966632,-0.0038053381927323215,-0.0031485927183607654,0.031889805981348385,213,289,-76
