fold,model,selected_gate,fusion_coverage,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,XGB,Q20,,0.736904761904762,0.7311043494324135,0.9327876984126984,0.8223490763797722,2.798313492063492
A_EARLY_TO_MIDDLE,MACRO_LTD_V1_FIXED,Q20,,0.7450892857142857,0.7349760641734705,0.9208829365079365,0.8242977453513908,2.9680555555555554
A_EARLY_TO_MIDDLE,MACRO_LTD_V2_GATE,Q20,0.2,0.7459821428571428,0.7388414065725185,0.928422619047619,0.826567575842102,2.8421626984126984
B_EARLY_MIDDLE_TO_LATE,XGB,Q20,,0.7674455997427377,0.7535503855279174,0.9510129703076429,0.8463156212067411,1.7657305177403795
B_EARLY_MIDDLE_TO_LATE,MACRO_LTD_V1_FIXED,Q20,,0.794618930217601,0.7792927569920867,0.9692893128952728,0.8683027493092697,1.5503805338192733
B_EARLY_MIDDLE_TO_LATE,MACRO_LTD_V2_GATE,Q20,0.1925179547647122,0.7881873727087576,0.7739614004840542,0.9603923250080394,0.8613692872102172,1.6365634044377746
