fold,selected_context_days,v1_context_days,delta_accuracy_vs_v1,delta_macro_f1_vs_v1,delta_top5_vs_v1,delta_mrr_vs_v1
A_EARLY_TO_MIDDLE,5,7,0.0009424603174603696,0.00041583363870423273,0.003918650793650835,0.0017358192933988326
B_EARLY_MIDDLE_TO_LATE,5,7,0.0033765676921427845,0.0041361285223713296,5.359631257373376e-05,0.0018025830932356657
