feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
iat_size_p75,float64,72603,72603,0,0.0,0,24752,9.07648919536032e-05,False
iat_size_p90,float64,72603,72603,0,0.0,0,66501,0.00018769809130640398,False
iat_mean_in,float64,72603,72603,0,0.0,0,72603,0.00015166506333317122,False
iat_std_in,float64,72603,72603,0,0.0,0,72603,0.0039577244724713296,False
iat_mean_out,float64,72603,72603,0,0.0,0,72596,0.0006589730455068075,False
iat_std_out,float64,72603,72603,0,0.0,0,72595,0.005436592574649226,False
duration,float64,72603,72603,0,0.0,0,72491,37.8522807373817,False
DoA,float64,72603,72603,0,0.0,0,72491,37.8522807373817,False
time_to_first_response,float64,72603,72603,0,0.0,0,63506,0.08207604034849734,False
pps_w1_total_packets,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
pps_w1_mean,float64,72603,72603,0,0.0,0,40032,34353.839772269734,False
pps_w1_max,float64,72603,72603,0,0.0,0,4004,542933.6761593545,False
pps_w1_min,float64,72603,72603,0,0.0,0,23,0.6489071747138041,False
pps_w1_std,float64,72603,72603,0,0.0,0,72509,55862.753450542696,False
pps_w1_burst_count,int64,72603,72603,0,0.0,0,39,29.109603819674906,False
pps_w1_in_out,float64,72603,72603,0,0.0,0,62027,11362.535287663635,False
pps_w2_total_packets,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
pps_w2_mean,float64,72603,72603,0,0.0,0,30747,32282.50186141343,False
pps_w2_max,float64,72603,72603,0,0.0,0,5902,362451.3765492194,False
pps_w2_min,float64,72603,72603,0,0.0,0,77,9.705785717788185,False
pps_w2_std,float64,72603,72603,0,0.0,0,72366,46131.920116384725,False
pps_w2_burst_count,int64,72603,72603,0,0.0,0,22,8.56259820692987,False
pps_w2_in_out,float64,72603,72603,0,0.0,0,62027,11362.535287663635,False
pps_w5_total_packets,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
pps_w5_mean,float64,72603,72603,0,0.0,0,26641,27725.007611093308,False
pps_w5_max,float64,72603,72603,0,0.0,0,8702,167052.222774589,False
pps_w5_min,float64,72603,72603,0,0.0,0,1020,619.2212788635748,False
pps_w5_std,float64,72603,72603,0,0.0,0,67724,29334.606114712802,False
pps_w5_burst_count,int64,72603,72603,0,0.0,0,9,1.581689554408642,False
pps_w5_in_out,float64,72603,72603,0,0.0,0,62027,11362.535287663635,False
pps_w10_total_packets,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
pps_w10_mean,float64,72603,72603,0,0.0,0,18889,21657.521400953192,False
pps_w10_max,float64,72603,72603,0,0.0,0,9593,55610.80599777711,False
pps_w10_min,float64,72603,72603,0,0.0,0,4941,13181.23803029985,False
pps_w10_std,float64,72603,72603,0,0.0,0,25292,10305.120162278337,False
pps_w10_burst_count,int64,72603,72603,0,0.0,0,5,0.41884310463273494,False
pps_w10_in_out,float64,72603,72603,0,0.0,0,62027,11362.535287663635,False
cumul_in_len,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
cumul_in_last,float64,72603,72603,0,0.0,0,5944,1596484.9695094388,False
cumul_in_mean,float64,72603,72603,0,0.0,0,72524,390666.2893617993,False
