fold,model,context_days,trainable_parameters,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,V2_LTD,5,116865,0.6437996031746032,0.6259690917200287,0.901140873015873,0.756640721033059,3.6037202380952382
A_EARLY_TO_MIDDLE,AGE_LTD,5,116865,0.6145337301587301,0.5971852763654644,0.8939484126984127,0.7363643253346934,3.740625
A_EARLY_TO_MIDDLE,V2_FUSION,5,116865,0.746031746031746,0.7353918978121747,0.9248015873015873,0.8260335646447896,2.8868055555555556
A_EARLY_TO_MIDDLE,AGE_FUSION,5,116865,0.7436011904761904,0.7333129928129172,0.9189484126984127,0.8233011204719517,2.939236111111111
B_EARLY_MIDDLE_TO_LATE,V2_LTD,5,116865,0.7152963876085325,0.6988125941218016,0.9572301425661914,0.8172153776601012,1.8050702111694716
B_EARLY_MIDDLE_TO_LATE,AGE_LTD,5,116865,0.6935898810161861,0.6725792287033383,0.9498874477435952,0.8012205269101245,1.9131203773180405
B_EARLY_MIDDLE_TO_LATE,V2_FUSION,5,116865,0.7979954979097438,0.783428885514458,0.9693429092078465,0.8701053324025053,1.5509164969450102
B_EARLY_MIDDLE_TO_LATE,AGE_FUSION,5,116865,0.793922178154143,0.7779215212274914,0.9655375710151142,0.8669567396841446,1.5828063029263586
