subset_size,model,fold,train_splits,test_split,n_train,n_test,n_classes,all_missing_train_features,all_missing_train_feature_names,accuracy,macro_f1,fit_seconds,predict_seconds,convergence_warning
48,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.5324257691070854,0.5135252816457031,31.964563417015597,0.00405652099289,False
48,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6569300032157788,0.6391992388952563,4.517395731003489,0.18492882698774338,False
48,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6860863972558688,0.6718116180521042,5.593446068000048,0.12128048605518416,False
64,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.5999503968253969,0.5910027205304497,18.96855470299488,0.006749950989615172,False
64,random_forest,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6705357142857142,0.657742609066065,2.776483380992431,0.19566792401019484,False
64,xgboost,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6999503968253968,0.6937456468142843,4.997893441002816,0.12801280396524817,False
64,logistic_regression,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.5850037517418801,0.5718451354158811,42.74292241700459,0.005173279962036759,False
64,random_forest,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.6956801372065602,0.677082521233794,6.047747419041116,0.18639625399373472,False
64,xgboost,B_EARLY_MIDDLE_TO_LATE,DEV_EARLY|DEV_MIDDLE,DEV_LATE,39258,18658,65,0,,0.7285882731268088,0.7149842243978344,7.340166185982525,0.12393030500970781,False
96,logistic_regression,A_EARLY_TO_MIDDLE,DEV_EARLY,DEV_MIDDLE,19098,20160,65,0,,0.6337797619047619,0.6273773041776295,25.49301514000399,0.004928582988213748,False
