fold,metric,observed_stale_minus_v2,bootstrap_mean,ci95_low,ci95_high,p_stale_gt_v2
A_EARLY_TO_MIDDLE,accuracy,-0.004910714285714324,-0.004889793774598442,-0.006330778221188438,-0.003554664697044688,0.0
A_EARLY_TO_MIDDLE,macro_f1,-0.006117401715939441,-0.0060646758562987535,-0.007393305337076725,-0.004775859314841114,0.0
A_EARLY_TO_MIDDLE,top5_accuracy,-0.0017361111111111605,-0.0017432616719794051,-0.002929645238302625,-0.0006905924182230989,0.0005
A_EARLY_TO_MIDDLE,mrr,-0.0036121214771244192,-0.00360504200935532,-0.004257463059531658,-0.0029359470706597085,0.0
B_EARLY_MIDDLE_TO_LATE,accuracy,-0.002626219316111067,-0.002635434894357918,-0.004702827434190299,-0.0007015035419694561,0.0055
B_EARLY_MIDDLE_TO_LATE,macro_f1,-0.0030750517622646356,-0.00309837199822383,-0.005468625582540831,-0.0008647609893388498,0.002
B_EARLY_MIDDLE_TO_LATE,top5_accuracy,-0.00235823775324262,-0.0023964491602880386,-0.0038798835003217374,-0.0009688657874414254,0.0015
B_EARLY_MIDDLE_TO_LATE,mrr,-0.0014830004847418143,-0.001493555731840127,-0.002560497347913393,-0.00045250965150529093,0.001
