subset_size,primary_mean_model_worst_macro_f1,min_model_worst_macro_f1,mean_model_worst_macro_f1,mean_model_worst_accuracy,secondary_mean_all_macro_f1,mean_all_accuracy,macro_f1_std_all_runs,total_fit_seconds,logistic_regression_worst_macro_f1,random_forest_worst_macro_f1,xgboost_worst_macro_f1,within_primary_tolerance,within_secondary_tolerance,selected_canonical
8,0.4104590030188584,0.27196412659384495,0.4104590030188584,0.42504960317460316,0.41798685357838233,0.4355390582064462,0.10575498182659439,29.111202550993767,0.27196412659384495,0.47991949735012907,0.4794933851126011,False,False,False
16,0.516173267117141,0.39644707969127696,0.516173267117141,0.5305886243386243,0.5216061304430023,0.5376707726688298,0.09600929511330172,33.457799061143305,0.39644707969127696,0.5703923875276335,0.5816803341325123,False,False,False
24,0.5405688124651225,0.42676580068384323,0.5405688124651225,0.553125,0.5476847899763814,0.563401032175653,0.09105320569171418,43.41542627796298,0.42676580068384323,0.5896394402190291,0.6053011964924949,False,False,False
32,0.5585037667221361,0.4655379662490403,0.5585037667221361,0.5699404761904762,0.5654569142495193,0.5792586577186346,0.07703461437879601,60.51508276705863,0.4655379662490403,0.5950087993524028,0.6149645345649652,False,False,False
48,0.5946077029008219,0.5135252816457031,0.5946077029008219,0.6077876984126984,0.6028169985109678,0.616467544136138,0.06785952402904065,65.73027814505622,0.5135252816457031,0.6217971860707573,0.6485006409860054,False,False,False
64,0.6411111304320768,0.5718451354158811,0.6411111304320768,0.6518299542843304,0.651067142909718,0.6632847783352929,0.05746663565295716,82.87376754701836,0.5718451354158811,0.657742609066065,0.6937456468142843,False,False,False
96,0.6736788552714245,0.6190156030326478,0.6736788552714245,0.6832468171163368,0.6821524777764697,0.6937696085583386,0.05217234883536995,100.10531615000218,0.6190156030326478,0.6754645819750217,0.7265563808066039,False,False,False
128,0.6811212073690521,0.6312129723772228,0.6811212073690521,0.6903107614873346,0.6882911795134574,0.6996423810856628,0.04967914948213675,111.00563716201577,0.6312129723772228,0.6810463002975197,0.7311043494324135,True,True,True
148,0.6809223403701239,0.6328802055344595,0.6809223403701239,0.6893187830687831,0.6878486282207582,0.6991275374592852,0.050041590370999506,121.0031331119826,0.6328802055344595,0.6788544930476438,0.7310323225282683,True,True,False
