fold,delta_accuracy_ltd_vs_base,delta_macro_f1_ltd_vs_base,delta_top5_ltd_vs_base,delta_mrr_ltd_vs_base
A_EARLY_TO_MIDDLE,-0.004844576719576832,-0.008667066760019715,0.0029431216931218307,-0.001770056087255889
B_EARLY_MIDDLE_TO_LATE,0.0007682138135564065,-0.004740446696810285,0.019634115839496813,0.006235208227633793
