fold,metric,observed_age_minus_v2,bootstrap_mean,ci95_low,ci95_high,p_age_gt_v2
A_EARLY_TO_MIDDLE,accuracy,-0.0024305555555556024,-0.0023904998706744734,-0.004318818282673528,-0.00029634642839735943,0.0125
A_EARLY_TO_MIDDLE,macro_f1,-0.002078904999257558,-0.0020332686340608784,-0.004154242769472372,0.0003830488872823074,0.051
A_EARLY_TO_MIDDLE,top5_accuracy,-0.005853174603174693,-0.0058564096473495385,-0.007777730012978998,-0.004012162945422723,0.0
A_EARLY_TO_MIDDLE,mrr,-0.002732444172837911,-0.0027206529344410897,-0.003912350722875824,-0.0014326116993318295,0.0
B_EARLY_MIDDLE_TO_LATE,accuracy,-0.004073319755600768,-0.004069478159244573,-0.005773981997145622,-0.002260604660475668,0.0
B_EARLY_MIDDLE_TO_LATE,macro_f1,-0.005507364286966632,-0.005530556015646921,-0.007616275660071945,-0.0034175347676424334,0.0
B_EARLY_MIDDLE_TO_LATE,top5_accuracy,-0.0038053381927323215,-0.003873357271761983,-0.006502609103507103,-0.0012960100647885831,0.0
B_EARLY_MIDDLE_TO_LATE,mrr,-0.0031485927183607654,-0.0031634167588774336,-0.004572946635838207,-0.0018139661048586506,0.0
