gate,fusion_coverage,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
NEVER,0.0,0.736904761904762,0.7311043494324135,0.9327876984126984,0.8223490763797722,2.798313492063492
Q20,0.2,0.7459821428571428,0.7388414065725185,0.928422619047619,0.826567575842102,2.8421626984126984
Q40,0.4,0.7463789682539682,0.7374463270392644,0.9231646825396825,0.8255220711678393,2.9171626984126986
Q60,0.6,0.7452876984126984,0.7353323509936993,0.9214285714285714,0.8245754656528579,2.9546626984126982
Q80,0.8,0.7450892857142857,0.7349760641734705,0.9207837301587302,0.8242645545778111,2.9669642857142855
ALWAYS,1.0,0.7450892857142857,0.7349760641734705,0.9208829365079365,0.8242977453513908,2.9680555555555554
