fold,alpha,n_dates,delta_accuracy,delta_macro_f1,delta_top5,delta_mrr,accuracy_improved_days,accuracy_worse_days,accuracy_tied_days
A_EARLY_TO_MIDDLE,0.375,14,0.008184523809523725,0.003871714741056964,-0.011904761904761862,0.0019486689716186056,14,0,0
B_EARLY_MIDDLE_TO_LATE,0.375,13,0.027173330474863255,0.025742371464169245,0.01827634258762989,0.021987128102528564,13,0,0
