rank_temporal_stability,feature,valid_sites_min,missing_rows_max,ks_mean,ks_worst,wasserstein_norm_mean,wasserstein_norm_worst,median_shift_norm_mean,median_shift_norm_worst,ks_worst_stability_percentile,wasserstein_norm_worst_stability_percentile,median_shift_norm_worst_stability_percentile,temporal_stability_score
1,burst_size_p25,65,0,4.447763794142764e-05,6.117663436477905e-05,0.0039034417379503173,0.00583072143953984,0.0,0.0,1.0,1.0,0.927652733118971,0.9758842443729904
2,sizes_min,65,0,0.00017073186886536846,0.0002560978032980527,0.00506586913802269,0.007594472672356647,0.0,0.0,0.9935691318327974,0.9967845659163987,0.927652733118971,0.972668810289389
3,cumul_in_min,65,0,0.0004236051818773401,0.0006354077728160101,0.0050937263677547015,0.007640155043271918,0.0,0.0,0.9855305466237942,0.9919614147909968,0.927652733118971,0.9683815648445874
4,cumul_interp_in_min,65,0,0.0004236051818773401,0.0006354077728160101,0.0050937263677547015,0.007640155043271918,0.0,0.0,0.9855305466237942,0.9919614147909968,0.927652733118971,0.9683815648445874
5,cumul_interp_out_min,65,0,0.0004236051819208394,0.0006354077728812592,0.005093726367759085,0.0076401550432784885,0.0,0.0,0.9790996784565916,0.9855305466237942,0.927652733118971,0.9640943193997856
6,cumul_out_min,65,0,0.0004236051819208394,0.0006354077728812592,0.005093726367759085,0.0076401550432784885,0.0,0.0,0.9790996784565916,0.9855305466237942,0.927652733118971,0.9640943193997856
7,burst_durations_p25,65,0,0.00012090033386299066,0.00015232292459710361,0.009567480146540871,0.012970377818250977,0.0,0.0,0.9967845659163987,0.9614147909967846,0.927652733118971,0.9619506966773849
8,ngrams_2_unique,65,0,0.0005401265156613112,0.0008101897734919669,0.006577562905340661,0.009865335524062907,0.0,0.0,0.9710610932475884,0.9742765273311897,0.927652733118971,0.957663451232583
9,ngrams_3_unique,65,0,0.0008169084914263555,0.0011243622373406708,0.007587404321979085,0.010210779415588688,0.0,0.0,0.9678456591639871,0.9710610932475884,0.927652733118971,0.9555198285101821
10,burst_durations_prop_gt_5s,65,0,0.0025421308199681247,0.003065801625653619,0.0077281727331995785,0.009600173125181011,0.0,0.0,0.9517684887459807,0.9807073954983923,0.927652733118971,0.9533762057877814
11,burst_durations_min,65,0,0.00024151188400676758,0.0003195800480024325,0.012771762395026434,0.017685111463209828,0.0,0.0,0.9903536977491961,0.9389067524115756,0.927652733118971,0.952304394426581
12,burst_size_p90,65,0,0.0012168317410091352,0.0014355481256432823,0.011699491962610727,0.01310275121800484,0.0,0.0,0.9646302250803859,0.9581993569131833,0.927652733118971,0.95016077170418
13,cumul_out_diffs_p90,65,0,0.001287214378049376,0.001930821567074064,0.010219627513520575,0.015327023203798976,0.0,0.0,0.9614147909967846,0.954983922829582,0.927652733118971,0.9480171489817791
14,cumul_interp_in_pct_increasing,65,0,0.003414046812664754,0.005121070218997131,0.010327615477372381,0.012302425808083155,0.0,0.0,0.9485530546623794,0.9678456591639871,0.927652733118971,0.9480171489817791
15,sizes_p25,65,0,0.0005218810515095947,0.0007828215772643921,0.017344211459242868,0.02369932681972465,0.0,0.0,0.9742765273311897,0.932475884244373,0.927652733118971,0.944801714898178
16,cumul_out_diffs_p75,65,0,0.0015107201691917833,0.002266080253787675,0.011192894839382359,0.016786698259205892,0.0,0.0,0.9581993569131833,0.9453376205787781,0.927652733118971,0.9437299035369775
17,cumul_in_diffs_p25,65,0,0.0015107201692021732,0.00226608025380326,0.011192894839398856,0.01678669825923072,0.0,0.0,0.954983922829582,0.9421221864951769,0.927652733118971,0.9415862808145766
18,burst_size_p50,65,0,0.00786701778292557,0.011791209613271403,0.009050448221999685,0.009683653361056558,0.0,0.0,0.9163987138263665,0.977491961414791,0.927652733118971,0.9405144694533761
19,sizes_median,65,0,0.006527436900830001,0.00969959197698994,0.010639364584604447,0.01592951133303029,0.0,0.0,0.927652733118971,0.9501607717041801,0.927652733118971,0.935155412647374
20,sizes_p50,65,0,0.006527436900830001,0.00969959197698994,0.010639364584604447,0.01592951133303029,0.0,0.0,0.927652733118971,0.9501607717041801,0.927652733118971,0.935155412647374
21,ngrams_4_unique,65,0,0.005779586747502591,0.008585471734895642,0.014552256129465896,0.0179383437916565,0.0,0.0,0.932475884244373,0.9356913183279743,0.927652733118971,0.9319399785637726
22,cumul_out_diffs_median,65,0,0.0046615623880905495,0.006992343582135824,0.02130814380862898,0.03196056449266387,0.0,0.0,0.9437299035369775,0.9147909967845659,0.927652733118971,0.9287245444801715
23,cumul_out_diffs_p50,65,0,0.0046615623880905495,0.006992343582135824,0.02130814380862898,0.03196056449266387,0.0,0.0,0.9437299035369775,0.9147909967845659,0.927652733118971,0.9287245444801715
24,burst_durations_median,65,0,0.00779116844447277,0.011686752666709155,0.01685045630012461,0.02430139334198958,0.0,0.0,0.9212218649517685,0.927652733118971,0.927652733118971,0.9255091103965701
25,burst_durations_p50,65,0,0.00779116844447277,0.011686752666709155,0.01685045630012461,0.02430139334198958,0.0,0.0,0.9212218649517685,0.927652733118971,0.927652733118971,0.9255091103965701
26,cumul_in_diffs_median,65,0,0.004661562388110774,0.006992343582166161,0.021308143808646207,0.03196056449269013,0.0,0.0,0.9372990353697749,0.9083601286173634,0.927652733118971,0.9244372990353696
27,cumul_in_diffs_p50,65,0,0.004661562388110774,0.006992343582166161,0.021308143808646207,0.03196056449269013,0.0,0.0,0.9372990353697749,0.9083601286173634,0.927652733118971,0.9244372990353696
28,cumul_interp_out_pct_increasing,65,0,0.009489514368565358,0.01381370474611987,0.016653195384637127,0.02486119597819033,0.0,0.0,0.9067524115755627,0.9228295819935691,0.927652733118971,0.9190782422293676
29,sizes_hist_501_1000,65,0,0.013102100006964249,0.015109047648153351,0.024070641396939495,0.03465973230186312,0.00798431822528208,0.012048192771084338,0.9035369774919614,0.9035369774919614,0.8295819935691319,0.8788853161843515
30,tam_4s_out_mean,65,0,0.013370713769783845,0.01669325236573871,0.039685045040508266,0.054905160960589956,0.0055085541678140055,0.008192501820555746,0.8906752411575563,0.8617363344051447,0.8392282958199357,0.8638799571275456
31,tam_5s_out_mean,65,0,0.013456812945820787,0.017201857963818346,0.038814750196200364,0.052556147819493304,0.005541287188490607,0.008312251535959481,0.8810289389067524,0.8713826366559485,0.8360128617363344,0.8628081457663451
32,global_packet_count_90,65,0,0.015138868683187276,0.0169866379676977,0.033650621428525485,0.04418292533712662,0.009108559653860917,0.013648596693579748,0.887459807073955,0.8971061093247589,0.7942122186495176,0.8595927116827439
33,tam_1s_out_mean,65,0,0.013054105955087473,0.017085527603454165,0.04101409770634571,0.05705209491981957,0.0012526389613863327,0.0018889588503276423,0.8842443729903537,0.8327974276527331,0.8520900321543409,0.8563772775991426
34,tam_2s_out_mean,65,0,0.013606490570326904,0.018253699696368253,0.04020001946451645,0.05576776529105849,0.0018813981755183412,0.002828797155038515,0.8681672025723473,0.8456591639871383,0.8488745980707395,0.8542336548767416
35,tam_3s_out_mean,65,0,0.014721018050376622,0.01861881377004615,0.03855990572631882,0.05350210531729339,0.0025579408832327078,0.0038500000000000795,0.8488745980707395,0.8681672025723473,0.8456591639871383,0.8542336548767416
36,pps_w10_mean,65,0,0.01600548125733812,0.0180750689567494,0.04516244607623995,0.06097188634052488,0.004409104859917395,0.006591702210159152,0.8713826366559485,0.7459807073954984,0.842443729903537,0.819935691318328
37,ngrams_4_topk_cumfrac,65,0,0.014941140883991047,0.02112846528943968,0.02259267018609885,0.031261300583315284,0.011318621878941379,0.016965281120583858,0.819935691318328,0.9196141479099679,0.7170418006430869,0.8188638799571276
38,sizes_hist_1001_1500,65,0,0.01729439834917712,0.02013658258878015,0.039129971198614215,0.05565739212573976,0.010840824960338447,0.01639344262295082,0.8392282958199357,0.8520900321543409,0.7202572347266881,0.8038585209003215
39,burst_size_p75,65,0,0.02050508292040722,0.030671842647215893,0.011393169006597268,0.012394272488147853,0.0,0.0,0.5112540192926045,0.9646302250803859,0.927652733118971,0.8011789924973205
40,tam_1s_out_min,65,0,0.008548453295419978,0.012719876875180947,0.050584103539045196,0.07431142990143345,0.0,0.0,0.9131832797427653,0.5048231511254019,0.927652733118971,0.7818863879957126
41,cumul_in_skew,65,0,0.01316335986944315,0.01525139286997701,0.04496276978256381,0.057561451322000294,0.015507010629787444,0.02314827370728155,0.9003215434083601,0.8263665594855305,0.594855305466238,0.7738478027867095
42,cumul_interp_in_skew,65,0,0.013829746844821448,0.016183415021701786,0.04598487346512619,0.05820392307336112,0.015377424508074068,0.022948822732497463,0.8938906752411575,0.819935691318328,0.5980707395498392,0.7706323687031084
43,ngrams_3_std_count,65,0,0.021485653533673297,0.026569729432913067,0.04841154187218544,0.06210503485961924,0.00912715499411395,0.0136348972962638,0.7652733118971061,0.7395498392282959,0.797427652733119,0.767416934619507
44,cumul_interp_out_diffs_p90,65,0,0.023211882595707778,0.027571773210554457,0.04921768328890425,0.06085252042862655,0.008713126746503555,0.01294498381876533,0.7363344051446945,0.7491961414790996,0.8102893890675241,0.765273311897106
45,iat_mean,65,0,0.015570122016393165,0.020232846806738036,0.04239540524234375,0.05560284422982947,0.015551132464996634,0.023493270317067907,0.8360128617363344,0.8553054662379421,0.5916398713826366,0.7609860664523044
46,ngrams_3_sparsity,65,0,0.024906627491124073,0.02929338479312965,0.041754238551142964,0.056240015661577054,0.009157302791221185,0.013697423561317182,0.6511254019292605,0.8360128617363344,0.7909967845659164,0.7593783494105039
47,ngrams_3_mean_count,65,0,0.024906627491124073,0.02929338479312965,0.04798587120799905,0.05832501617002099,0.008909278327616803,0.0132986412257878,0.6511254019292605,0.8167202572347267,0.8038585209003215,0.757234726688103
48,ngrams_4_sparsity,65,0,0.025048544306536257,0.02978943592625538,0.03835852106029714,0.04958305146301884,0.009580467725953112,0.014319991390619546,0.6318327974276527,0.887459807073955,0.7363344051446945,0.7518756698821006
49,ngrams_2_sparsity,65,0,0.02511352845891131,0.029842568997232505,0.042363476342246326,0.057381874653423086,0.009162006783300147,0.013715593839352516,0.6254019292604501,0.8295819935691319,0.7877813504823151,0.747588424437299
50,ngrams_2_mean_count,65,0,0.02511352845891131,0.029842568997232505,0.047757698200481785,0.05863015707970621,0.008948190658810267,0.01336432306798373,0.6254019292604501,0.8006430868167203,0.8006430868167203,0.742229367631297
51,ngrams_4_mean_count,65,0,0.025048544306536257,0.02978943592625538,0.047842481999064344,0.058542195922452515,0.009266900550037665,0.013836840588065724,0.6318327974276527,0.8070739549839229,0.7845659163987139,0.7411575562700965
52,cumul_out_slope_norm,65,0,0.0243830788887122,0.029276653106843353,0.04105816432071963,0.05585196562669547,0.010482679984626977,0.015646499558297496,0.6559485530546624,0.842443729903537,0.7234726688102894,0.7406216505894964
53,time_to_first_response,65,0,0.022059450804017205,0.0258821676343296,0.03880883267700599,0.05572143426758527,0.016987825297779893,0.02591008991986999,0.7813504823151125,0.8488745980707395,0.5659163987138264,0.7320471596998929
54,tam_5s_in_max,65,0,0.0234661703514067,0.02474971388046865,0.043933576691489847,0.050169106092998565,0.024553437121619365,0.03615960099750624,0.7942122186495176,0.8810289389067524,0.4983922829581994,0.7245444801714899
55,ngrams_3_top5_frac,65,0,0.0221931720068184,0.02460183116151482,0.05037678232679419,0.05759625878629535,0.019585093254809074,0.028890556862345807,0.797427652733119,0.8231511254019293,0.5401929260450161,0.7202572347266881
56,cumul_in_slope_norm,65,0,0.025906557241991462,0.030627960546521726,0.04305017001063705,0.0585418421171103,0.008316858168614714,0.012439473267229335,0.5176848874598071,0.8102893890675241,0.8231511254019293,0.7170418006430869
57,cumul_in_len,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
58,cumul_out_len,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
59,ngrams_2_possible_windows,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
60,ngrams_2_total_occurrences,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
61,ngrams_3_possible_windows,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
62,ngrams_3_total_occurrences,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
63,ngrams_4_possible_windows,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
64,ngrams_4_total_occurrences,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
65,pps_w10_total_packets,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
66,pps_w1_total_packets,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
67,pps_w2_total_packets,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
68,pps_w5_total_packets,65,0,0.025342033996203123,0.03027570119552675,0.04780834550434394,0.05882399071106129,0.009547910391173899,0.014260768335273575,0.590032154340836,0.7797427652733119,0.7572347266881029,0.7090032154340836
69,pps_w10_max,65,0,0.020269010746525495,0.024320206564316216,0.04124467317754229,0.05597526669111472,0.024627990687820133,0.03682842287694974,0.8006430868167203,0.8392282958199357,0.4758842443729904,0.7052518756698821
70,pps_w5_mean,65,0,0.01715981595499357,0.020605087507436948,0.04572156445513708,0.06617296731466593,0.014184817085673379,0.021515824541921316,0.8327974276527331,0.6463022508038585,0.6366559485530546,0.705251875669882
71,ngrams_2_std_count,65,0,0.022970226255127225,0.02616137522818382,0.05250425085777457,0.07141642619477409,0.009363468486736073,0.014045697277596624,0.7684887459807074,0.5691318327974276,0.7781350482315113,0.705251875669882
72,cumul_interp_out_diffs_p75,65,0,0.02496252624045685,0.030502244072821483,0.05136861539071098,0.06251252713519719,0.008494827537869884,0.012646370023418353,0.5273311897106109,0.729903536977492,0.819935691318328,0.692390139335477
73,cumul_interp_out_mean,65,0,0.024088602168641365,0.02926733870731066,0.05199990354214867,0.06402229442539627,0.011835359251506533,0.017601344104755445,0.662379421221865,0.7041800643086816,0.7009646302250804,0.6891747052518756
74,cumul_interp_out_auc,65,0,0.02410362793014671,0.029269652975720067,0.05199954423342475,0.06401197050631396,0.01187920531084557,0.017665754878296292,0.6591639871382636,0.707395498392283,0.6945337620578779,0.6870310825294749
75,ngrams_4_std_count,65,0,0.023023305492197377,0.030099621556899936,0.051734586673121315,0.06554505309095288,0.009334722741815016,0.014007511367818868,0.6205787781350482,0.6591639871382636,0.7813504823151125,0.6870310825294749
76,cumul_out_mean,65,0,0.02411967029464916,0.029317780069227417,0.0519997225446387,0.06400914686657513,0.011922384458945223,0.01772970000951344,0.6463022508038585,0.7106109324758842,0.6913183279742765,0.682743837084673
77,ngrams_2_max_count,65,0,0.02215072696560122,0.025995041211818892,0.04964832932573149,0.06760105956367743,0.014684127029913016,0.022004889975550123,0.7765273311897106,0.6318327974276527,0.6254019292604501,0.6779206859592711
78,ngrams_2_top1_count,65,0,0.02215072696560122,0.025995041211818892,0.04964832932573149,0.06760105956367743,0.014684127029913016,0.022004889975550123,0.7765273311897106,0.6318327974276527,0.6254019292604501,0.6779206859592711
79,cumul_interp_in_diffs_median,65,0,0.024615622895186633,0.027990786256709477,0.05550881604338312,0.07456987561264143,0.00853419828240004,0.012789768185452037,0.7154340836012861,0.4967845659163987,0.815112540192926,0.6757770632368704
80,cumul_interp_in_diffs_p50,65,0,0.024615622895186633,0.027990786256709477,0.05550881604338312,0.07456987561264143,0.00853419828240004,0.012789768185452037,0.7154340836012861,0.4967845659163987,0.815112540192926,0.6757770632368704
81,tam_1s_in_min,65,0,0.017035198016689995,0.02555279702503499,0.07849727144577463,0.11177126384998605,0.0,0.0,0.7845659163987139,0.3086816720257235,0.927652733118971,0.6736334405144695
82,spectral_energy_mid,65,0,0.024817770059032043,0.030387827871554807,0.04294919337077239,0.05856308846904827,0.012324716493218814,0.018418735763731445,0.5498392282958199,0.8038585209003215,0.6591639871382636,0.6709539121114684
83,spectral_energy_low,65,0,0.024815554988289707,0.03035183300542338,0.04335478555936328,0.0588746849449871,0.01224824887588194,0.018310809104700867,0.5691318327974276,0.7588424437299035,0.6688102893890675,0.6655948553054661
84,pps_w1_mean,65,0,0.014860197143246582,0.01941579718731623,0.05048114524897141,0.0744679168825752,0.014082359882161525,0.021259610615079402,0.8456591639871383,0.5016077170418006,0.639871382636656,0.662379421221865
85,sizes_hist_1_500,65,0,0.024095480170840716,0.028647137797598254,0.050321775532127945,0.06605644077855535,0.014177217893720222,0.02120141342756184,0.6752411575562701,0.6527331189710611,0.6430868167202572,0.6570203644158629
