fold,ordered_minus_nopos_accuracy,ordered_minus_nopos_macro_f1,ordered_minus_nopos_top5_accuracy,ordered_minus_nopos_mrr,ordered_only_correct_n,nopos_only_correct_n,net_ordered_correct_n
A_EARLY_TO_MIDDLE,-0.00044642857142851433,-0.0008992035910663221,0.002728174603174649,9.018479338440688e-05,241,250,-9
B_EARLY_MIDDLE_TO_LATE,0.005252438632222023,0.005868511940664067,0.0019294672526529721,0.0031416125767045333,271,173,98
