fold,role,model,selected_alpha,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,selection,xgb,0.375,0.736904761904762,0.7311043494324135,0.9327876984126984,0.8223490763797722,2.798313492063492
A_EARLY_TO_MIDDLE,selection,ltd,0.375,0.6490575396825397,0.6358061966019541,0.8975198412698413,0.759115591271928,3.6949404761904763
A_EARLY_TO_MIDDLE,selection,fusion,0.375,0.7450892857142857,0.7349760641734705,0.9208829365079365,0.8242977453513908,2.9680555555555554
B_EARLY_MIDDLE_TO_LATE,temporal_transfer,xgb,0.375,0.7674455997427377,0.7535503855279174,0.9510129703076429,0.8463156212067411,1.7657305177403795
B_EARLY_MIDDLE_TO_LATE,temporal_transfer,ltd,0.375,0.7158323507342694,0.6979014442331319,0.9583020688176653,0.8175833973571651,1.784810805016615
B_EARLY_MIDDLE_TO_LATE,temporal_transfer,fusion,0.375,0.794618930217601,0.7792927569920867,0.9692893128952728,0.8683027493092697,1.5503805338192733
