rank_site_persistence,feature,valid_sites_min,spearman_mean,spearman_worst,site_shift_norm_median_mean,site_shift_norm_p90_worst,identity_mrr_mean,identity_mrr_worst,identity_top1_worst,identity_top5_worst,drift_to_separation_median_mean,drift_to_separation_p90_worst,spearman_worst_persistence_percentile,identity_mrr_worst_persistence_percentile,site_shift_p90_persistence_percentile,drift_separation_p90_persistence_percentile,site_persistence_score
25,pps_w1_burst_count,65,0.9629715395951833,0.9471202529513629,0.10175438596491228,0.2600000000000001,0.20039987580319762,0.18870233418863303,0.0,0.4,0.10707070707070708,0.5,0.9646302250803859,0.33440514469453375,0.8617363344051447,0.9758842443729904,0.7841639871382636
26,burst_max,65,0.9471250242279372,0.9293186371164963,0.1789598108747045,0.4,0.2847077428462097,0.26257210933162173,0.046153846153846156,0.46153846153846156,0.15468975468975468,0.5822222222222223,0.9260450160771704,0.4694533762057878,0.792604501607717,0.9131832797427653,0.77532154340836
27,ngrams_2_top3_count,65,0.9472405553855792,0.9175226189955854,0.040448250655098335,0.45048442000523714,0.4354296641944597,0.35910989710004354,0.13846153846153847,0.6307692307692307,0.07870168397905443,0.6442935442442788,0.8971061093247589,0.662379421221865,0.6591639871382636,0.8745980707395499,0.7733118971061094
28,DoA,65,0.9588141025641027,0.9366258741258741,0.1247623703279211,0.3099474556050223,0.2795498742677494,0.20438617101135279,0.06153846153846154,0.2923076923076923,0.1955972580335994,0.5293551674142666,0.9405144694533762,0.34887459807073956,0.8472668810289389,0.9533762057877814,0.772508038585209
29,duration,65,0.9588141025641027,0.9366258741258741,0.1247623703279211,0.3099474556050223,0.2795498742677494,0.20438617101135279,0.06153846153846154,0.2923076923076923,0.1955972580335994,0.5293551674142666,0.9405144694533762,0.34887459807073956,0.8472668810289389,0.9533762057877814,0.772508038585209
30,times_duration,65,0.9588141025641027,0.9366258741258741,0.1247623703279211,0.3099474556050223,0.2795498742677494,0.20438617101135279,0.06153846153846154,0.2923076923076923,0.1955972580335994,0.5293551674142666,0.9405144694533762,0.34887459807073956,0.8472668810289389,0.9533762057877814,0.772508038585209
31,times_max,65,0.9588141025641027,0.9366258741258741,0.1247623703279211,0.3099474556050223,0.2795498742677494,0.20438617101135279,0.06153846153846154,0.2923076923076923,0.1955972580335994,0.5293551674142666,0.9405144694533762,0.34887459807073956,0.8472668810289389,0.9533762057877814,0.772508038585209
32,cumul_interp_out_std,65,0.9434003496503497,0.9120629370629371,0.03425558072677589,0.45527987456046765,0.514757559641117,0.45520010225372765,0.27692307692307694,0.6923076923076923,0.05134533514730843,0.7044910618665334,0.8504823151125402,0.8344051446945338,0.6302250803858521,0.7556270096463023,0.767684887459807
33,cumul_interp_out_diffs_mean,65,0.9434019184907808,0.9123332281965154,0.031105586737030438,0.46139970717423157,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001357,0.719563698801945,0.8633440514469454,0.882636655948553,0.594855305466238,0.7266881028938906,0.7668810289389068
34,cumul_interp_out_last,65,0.9434019184907808,0.9123332281965154,0.031105586737030417,0.46139970717423134,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001371,0.7195636988019452,0.8633440514469454,0.882636655948553,0.6045016077170418,0.7170418006430869,0.7668810289389068
35,cumul_interp_out_max,65,0.9434019184907808,0.9123332281965154,0.031105586737030417,0.46139970717423134,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001371,0.7195636988019452,0.8633440514469454,0.882636655948553,0.6045016077170418,0.7170418006430869,0.7668810289389068
36,cumul_out_last,65,0.9434019184907808,0.9123332281965154,0.031105586737030417,0.46139970717423134,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001371,0.7195636988019452,0.8633440514469454,0.882636655948553,0.6045016077170418,0.7170418006430869,0.7668810289389068
37,cumul_out_max,65,0.9434019184907808,0.9123332281965154,0.031105586737030417,0.46139970717423134,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001371,0.7195636988019452,0.8633440514469454,0.882636655948553,0.6045016077170418,0.7170418006430869,0.7668810289389068
38,total_out,65,0.9434019184907808,0.9123332281965154,0.031105586737030417,0.46139970717423134,0.5181288432478932,0.4610812605492703,0.2923076923076923,0.676923076923077,0.05079392576001371,0.7195636988019452,0.8633440514469454,0.882636655948553,0.6045016077170418,0.7170418006430869,0.7668810289389068
39,cumul_interp_out_slope,65,0.9434003496503497,0.9120629370629371,0.034333320208183506,0.4553590466123909,0.5151849100684674,0.45520010225372765,0.27692307692307694,0.6923076923076923,0.0524524586800646,0.7045700003390623,0.8504823151125402,0.8344051446945338,0.6270096463022508,0.752411575562701,0.7660771704180065
40,cumul_out_std,65,0.9433275058275058,0.9119755244755245,0.03418958183687896,0.45544403432167996,0.5134755083590657,0.4513539484075738,0.27692307692307694,0.6923076923076923,0.05162463035399117,0.7048596043794776,0.8360128617363344,0.8135048231511254,0.6237942122186495,0.7491961414790996,0.7556270096463021
41,cumul_in_len,65,0.9437062937062937,0.9112325174825174,0.023721616830732633,0.5041241292890579,0.5426849129662726,0.4710323013506212,0.2923076923076923,0.6923076923076923,0.0383620481739688,0.7011726384364826,0.8054662379421221,0.9405144694533762,0.48392282958199356,0.7829581993569131,0.7532154340836013
42,cumul_out_len,65,0.9437062937062937,0.9112325174825174,0.023721616830732633,0.5041241292890579,0.5426849129662726,0.4710323013506212,0.2923076923076923,0.6923076923076923,0.0383620481739688,0.7011726384364826,0.8054662379421221,0.9405144694533762,0.48392282958199356,0.7829581993569131,0.7532154340836013
43,ngrams_2_possible_windows,65,0.9437062937062937,0.9112325174825174,0.023721616830732633,0.5041241292890579,0.5426849129662726,0.4710323013506212,0.2923076923076923,0.6923076923076923,0.0383620481739688,0.7011726384364826,0.8054662379421221,0.9405144694533762,0.48392282958199356,0.7829581993569131,0.7532154340836013
44,ngrams_2_total_occurrences,65,0.9437062937062937,0.9112325174825174,0.023721616830732633,0.5041241292890579,0.5426849129662726,0.4710323013506212,0.2923076923076923,0.6923076923076923,0.0383620481739688,0.7011726384364826,0.8054662379421221,0.9405144694533762,0.48392282958199356,0.7829581993569131,0.7532154340836013
45,ngrams_3_possible_windows,65,0.9437062937062937,0.9112325174825174,0.023721616830732633,0.5041241292890579,0.5426849129662726,0.4710323013506212,0.2923076923076923,0.6923076923076923,0.0383620481739688,0.7011726384364826,0.8054662379421221,0.9405144694533762,0.48392282958199356,0.7829581993569131,0.7532154340836013
