fold,model,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,V2_LTD,0.6437996031746032,0.6259690917200287,0.901140873015873,0.756640721033059,3.6037202380952382
A_EARLY_TO_MIDDLE,STALE_LTD,0.6244047619047619,0.6091054049549268,0.8938988095238095,0.7428904181663623,3.6913690476190477
A_EARLY_TO_MIDDLE,V2_FUSION,0.746031746031746,0.7353918978121747,0.9248015873015873,0.8260335646447896,2.8868055555555556
A_EARLY_TO_MIDDLE,STALE_FUSION,0.7411210317460317,0.7292744960962353,0.9230654761904762,0.8224214431676652,2.928373015873016
B_EARLY_MIDDLE_TO_LATE,V2_LTD,0.7152963876085325,0.6988125941218016,0.9572301425661914,0.8172153776601012,1.8050702111694716
B_EARLY_MIDDLE_TO_LATE,STALE_LTD,0.6958409261442813,0.6785711673310427,0.9558902347518491,0.8063806791068633,1.8322971379569086
B_EARLY_MIDDLE_TO_LATE,V2_FUSION,0.7979954979097438,0.783428885514458,0.9693429092078465,0.8701053324025053,1.5509164969450102
B_EARLY_MIDDLE_TO_LATE,STALE_FUSION,0.7953692785936327,0.7803538337521934,0.9669846714546039,0.8686223319177635,1.5608318147711437
