fold,site_label,n,v2_accuracy,age_accuracy,delta_accuracy,age_only_correct_n,v2_only_correct_n
A_EARLY_TO_MIDDLE,0,300,0.8466666666666667,0.8433333333333334,-0.0033333333333332993,2,3
A_EARLY_TO_MIDDLE,10,326,0.6257668711656442,0.6717791411042945,0.04601226993865026,18,3
A_EARLY_TO_MIDDLE,102,317,0.5678233438485805,0.5488958990536278,-0.018927444794952675,2,8
A_EARLY_TO_MIDDLE,104,327,0.6207951070336392,0.6636085626911316,0.042813455657492394,19,5
A_EARLY_TO_MIDDLE,105,243,0.8847736625514403,0.8765432098765432,-0.008230452674897082,2,4
A_EARLY_TO_MIDDLE,106,288,0.8506944444444444,0.8715277777777778,0.02083333333333337,6,0
A_EARLY_TO_MIDDLE,107,282,0.8191489361702128,0.8297872340425532,0.010638297872340385,7,4
A_EARLY_TO_MIDDLE,108,311,0.9710610932475884,0.9710610932475884,0.0,1,1
A_EARLY_TO_MIDDLE,109,325,0.8492307692307692,0.8553846153846154,0.006153846153846176,5,3
A_EARLY_TO_MIDDLE,11,316,0.879746835443038,0.8734177215189873,-0.006329113924050667,2,4
A_EARLY_TO_MIDDLE,110,209,0.8373205741626795,0.8516746411483254,0.014354066985645897,3,0
A_EARLY_TO_MIDDLE,113,327,0.8990825688073395,0.8715596330275229,-0.02752293577981657,0,9
A_EARLY_TO_MIDDLE,117,321,0.6043613707165109,0.6105919003115264,0.006230529595015577,3,1
A_EARLY_TO_MIDDLE,12,328,0.801829268292683,0.7652439024390244,-0.03658536585365857,3,15
A_EARLY_TO_MIDDLE,14,276,0.5,0.4601449275362319,-0.039855072463768126,2,13
A_EARLY_TO_MIDDLE,18,328,0.8597560975609756,0.8475609756097561,-0.012195121951219523,2,6
A_EARLY_TO_MIDDLE,2,327,0.9418960244648318,0.9541284403669725,0.012232415902140747,4,0
A_EARLY_TO_MIDDLE,21,329,0.8419452887537994,0.8662613981762918,0.024316109422492405,10,2
A_EARLY_TO_MIDDLE,24,245,0.8693877551020408,0.8775510204081632,0.008163265306122436,4,2
A_EARLY_TO_MIDDLE,25,333,0.9309309309309309,0.9219219219219219,-0.009009009009009028,2,5
A_EARLY_TO_MIDDLE,27,332,0.8433734939759037,0.8192771084337349,-0.024096385542168752,2,10
A_EARLY_TO_MIDDLE,28,326,0.3006134969325153,0.2668711656441718,-0.03374233128834353,1,12
A_EARLY_TO_MIDDLE,29,329,0.1702127659574468,0.1702127659574468,0.0,0,0
A_EARLY_TO_MIDDLE,31,272,0.9264705882352942,0.9301470588235294,0.003676470588235281,2,1
A_EARLY_TO_MIDDLE,34,315,0.8603174603174604,0.8571428571428571,-0.0031746031746032743,3,4
A_EARLY_TO_MIDDLE,35,329,0.9240121580547113,0.9179331306990881,-0.006079027355623157,1,3
A_EARLY_TO_MIDDLE,36,323,0.9752321981424149,0.978328173374613,0.003095975232198067,1,0
A_EARLY_TO_MIDDLE,37,333,0.7627627627627628,0.7747747747747747,0.012012012012011963,6,2
A_EARLY_TO_MIDDLE,39,325,0.8307692307692308,0.8523076923076923,0.021538461538461506,9,2
A_EARLY_TO_MIDDLE,40,323,0.7089783281733746,0.7213622291021672,0.012383900928792602,11,7
A_EARLY_TO_MIDDLE,41,253,0.8932806324110671,0.9011857707509882,0.007905138339921014,4,2
A_EARLY_TO_MIDDLE,42,320,0.80625,0.771875,-0.034375000000000044,1,12
A_EARLY_TO_MIDDLE,43,316,0.8987341772151899,0.9240506329113924,0.025316455696202556,9,1
A_EARLY_TO_MIDDLE,45,297,0.622895622895623,0.5589225589225589,-0.06397306397306401,4,23
A_EARLY_TO_MIDDLE,46,305,0.22295081967213115,0.2360655737704918,0.01311475409836066,12,8
A_EARLY_TO_MIDDLE,47,326,0.7484662576687117,0.7607361963190185,0.012269938650306789,9,5
A_EARLY_TO_MIDDLE,48,314,0.15286624203821655,0.18789808917197454,0.03503184713375798,13,2
A_EARLY_TO_MIDDLE,50,326,0.8711656441717791,0.8742331288343558,0.0030674846625766694,6,5
A_EARLY_TO_MIDDLE,51,266,0.8834586466165414,0.8984962406015038,0.015037593984962405,5,1
