fold,seed,train_loss,n_train_queries,n_train_context_dates,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,11,0.8255012744160872,9976,7,0.580952380952381,0.564542759136128,0.885813492063492,0.714473431749283,3.754861111111111
A_EARLY_TO_MIDDLE,42,0.8410712814715832,9976,7,0.5690972222222223,0.5565127310931473,0.8862599206349207,0.7071018492314299,3.865625
A_EARLY_TO_MIDDLE,73,0.8528303108637392,9976,7,0.6062996031746032,0.5908959138163729,0.8902777777777777,0.7313060213681596,3.6870535714285713
B_EARLY_MIDDLE_TO_LATE,11,0.7236761413524503,30136,21,0.6617000750348376,0.643143001678777,0.9441526422982098,0.7830366177030973,1.9884767927966556
B_EARLY_MIDDLE_TO_LATE,42,0.7095583297108541,30136,21,0.6553757101511416,0.6356141563544889,0.9522456854968379,0.7813334695291817,1.942866330796441
B_EARLY_MIDDLE_TO_LATE,73,0.7164320963065758,30136,21,0.6531246650230464,0.6297449730728847,0.9430807160467359,0.775807818172785,1.9998928073748525
