rank_representatives,feature,rank_discriminability,score_min,rank_temporal_stability,temporal_stability_score,rank_site_persistence,site_persistence_score,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,dtp_min,dtp_geometric_mean,dtp_arithmetic_mean,dtp_balance_gap,rank_within_cluster,is_cluster_representative,pareto_front
113,times_std,183,0.3890675241157555,244,0.240085744908896,194,0.3938906752411575,146,1,times_std,1.0,0.240085744908896,0.3326000819194654,0.341014648088603,0.1538049303322615,1,True,12
114,burst_durations_max,257,0.1961414790996784,203,0.3944265809217577,259,0.2628617363344052,51,1,burst_durations_max,1.0,0.1961414790996784,0.2729528695545292,0.2844765987852804,0.19828510182207928,1,True,12
115,sizes_kurtosis,202,0.3333333333333333,287,0.1178992497320471,181,0.4598070739549839,126,1,sizes_kurtosis,1.0,0.1178992497320471,0.2624148925055058,0.3036798856734548,0.34190782422293675,1,True,12
116,global_packet_count_50,172,0.4308681672025723,296,0.1039657020364415,215,0.3118971061093247,85,1,global_packet_count_50,1.0,0.1039657020364415,0.24085108940471367,0.28224365844944616,0.3269024651661308,1,True,12
117,tam_2s_out_min,289,0.0911039657020364,204,0.392818863879957,254,0.2813504823151125,138,1,tam_2s_out_min,1.0,0.0911039657020364,0.2159363521057255,0.25509110396570195,0.30171489817792063,1,True,12
118,iat_size_p50,160,0.4683815648445873,305,0.0744908896034298,286,0.1816720257234726,27,2,iat_median|iat_size_p50,1.0,0.0744908896034298,0.1850675764145498,0.24151482672382993,0.3938906752411575,1,True,12
119,packets_last10pct,179,0.4180064308681672,246,0.2368703108252947,208,0.3271704180064309,35,2,bytes_last10pct|packets_last10pct,0.9914499344543528,0.2368703108252947,0.3187786355144262,0.3273490532332976,0.1811361200428725,1,True,13
120,tam_5s_out_min,243,0.2143622722400857,234,0.2706323687031082,258,0.2656752411575562,143,1,tam_5s_out_min,1.0,0.2143622722400857,0.24886265190489062,0.25022329403358334,0.0562700964630225,1,True,13
121,tam_4s_out_min,246,0.2111468381564844,255,0.2186495176848874,206,0.335209003215434,142,1,tam_4s_out_min,1.0,0.2111468381564844,0.24920089260224948,0.2550017863522686,0.1240621650589496,1,True,13
122,pps_w5_min,241,0.217577706323687,243,0.2454448017148981,278,0.20016077170418,40,2,pps_w5_min|tam_5s_in_min,0.972065950766201,0.20016077170418,0.2202837189327594,0.22106109324758838,0.045284030010718096,1,True,13
123,burst_durations_entropy,262,0.1918542336548767,223,0.3408360128617363,256,0.2733118971061093,49,1,burst_durations_entropy,1.0,0.1918542336548767,0.26145189868131113,0.2686673812075741,0.14898177920685962,1,True,13
124,burst_durations_p90,211,0.3033226152197213,280,0.1329046087888531,203,0.3528938906752412,57,1,burst_durations_p90,1.0,0.1329046087888531,0.24230534316228736,0.26304037156127186,0.21998928188638808,1,True,13
125,global_packet_count_25,205,0.3279742765273312,293,0.1093247588424437,183,0.4364951768488746,84,1,global_packet_count_25,1.0,0.1093247588424437,0.25013775823542966,0.2912647374062165,0.32717041800643093,1,True,13
126,time_to_first_big_burst,238,0.2293676312968917,256,0.217577706323687,267,0.2435691318327974,144,1,time_to_first_big_burst,1.0,0.217577706323687,0.22992679764952978,0.23017148981779204,0.025991425509110405,1,True,14
127,burst_durations_prop_gt_1s,214,0.2958199356913183,257,0.2122186495176849,217,0.3038585209003215,58,1,burst_durations_prop_gt_1s,1.0,0.2122186495176849,0.2671944715998051,0.27063236870310825,0.0916398713826366,1,True,14
128,iat_size_p25,223,0.2765273311897106,253,0.2229367631296891,284,0.1832797427652733,92,1,iat_size_p25,1.0,0.1832797427652733,0.22439408598484215,0.22758127902822434,0.09324758842443731,1,True,14
129,pps_w5_burst_count,180,0.4072883172561629,271,0.1629153269024651,274,0.2073954983922829,123,1,pps_w5_burst_count,1.0,0.1629153269024651,0.23963729438331863,0.25919971418363696,0.24437299035369778,1,True,14
130,ngrams_4_top3_frac,200,0.3354769560557342,289,0.1146838156484458,268,0.2387459807073955,32,2,ngrams_3_top3_frac|ngrams_4_top3_frac,0.9701176584829014,0.1146838156484458,0.20942746324604725,0.22963558413719184,0.22079314040728837,1,True,14
131,tam_3s_out_min,249,0.2047159699892818,263,0.1886387995712754,260,0.2568327974276527,140,1,tam_3s_out_min,1.0,0.1886387995712754,0.21485447810734848,0.21672918899606997,0.06819399785637728,1,True,15
132,ngrams_3_top2_frac,227,0.2647374062165059,265,0.1822079314040728,273,0.2090032154340836,31,2,ngrams_3_top2_frac|ngrams_4_top2_frac,0.985934345974942,0.1822079314040728,0.216028898671765,0.2186495176848874,0.08252947481243308,1,True,15
133,ngrams_4_top5_frac,267,0.180064308681672,258,0.2122186495176848,270,0.2339228295819935,114,1,ngrams_4_top5_frac,1.0,0.180064308681672,0.20753655228356552,0.20873526259378342,0.053858520900321505,1,True,15
134,ngrams_4_top1_frac,219,0.2786709539121115,267,0.172561629153269,265,0.247588424437299,112,1,ngrams_4_top1_frac,1.0,0.172561629153269,0.22834355468638562,0.2329403358342265,0.1061093247588425,1,True,15
135,transition_rate,270,0.1682743837084672,259,0.210075026795284,261,0.2564308681672026,15,3,burst_mean|ngrams_2_top2_frac|transition_rate,0.9996467816468076,0.1682743837084672,0.20850713121112882,0.21159342622365127,0.08815648445873542,1,True,15
136,ngrams_3_top1_frac,251,0.2036441586280814,270,0.165058949624866,255,0.2789389067524116,107,1,ngrams_3_top1_frac,1.0,0.165058949624866,0.21086607271678054,0.215880671668453,0.11387995712754562,1,True,15
137,tam_4s_in_min,248,0.2057877813504823,276,0.1420150053590567,221,0.2885852090032154,141,1,tam_4s_in_min,1.0,0.1420150053590567,0.20355227590852834,0.21212933190425146,0.14657020364415868,1,True,15
138,ratio_out_in,217,0.2829581993569132,284,0.1184351554126473,287,0.1784565916398713,3,13,cumul_in_diffs_mean|cumul_in_pct_increasing|cumul_in_slope|cumul_out_diffs_mean|cumul_out_pct_increasing|cumul_out_slope|pps_w10_in_out|pps_w1_in_out|pps_w2_in_out|pps_w5_in_out|ratio_in_total|ratio_out_in|ratio_out_total,0.9563126122772662,0.1184351554126473,0.18151471460870502,0.1932833154698106,0.16452304394426587,1,True,15
139,tam_3s_in_min,253,0.2004287245444801,273,0.1564844587352626,279,0.1945337620578778,139,1,tam_3s_in_min,1.0,0.1564844587352626,0.1827295228391566,0.1838156484458735,0.04394426580921751,1,True,16
140,cumul_in_diffs_std,239,0.2197213290460878,279,0.1334405144694533,280,0.1937299035369775,16,3,cumul_in_diffs_std|cumul_out_diffs_std|entropy,0.9998640534723008,0.1334405144694533,0.17842355808887275,0.18229724901750619,0.0862808145766345,1,True,16
141,ngrams_4_top4_frac,269,0.1682743837084672,286,0.1178992497320471,275,0.2033762057877813,34,2,ngrams_3_top4_frac|ngrams_4_top4_frac,0.9618313939374322,0.1178992497320471,0.1592000000843757,0.16318327974276517,0.08547695605573419,1,True,16
142,ngrams_2_top1_frac,273,0.1414790996784566,299,0.0953912111468381,271,0.2178456591639871,103,1,ngrams_2_top1_frac,1.0,0.0953912111468381,0.14325722038145122,0.15157198999642726,0.122454448017149,1,True,16
143,iat_max,264,0.187566988210075,277,0.1414790996784566,283,0.1864951768488746,88,1,iat_max,1.0,0.1414790996784566,0.17041406351868674,0.17184708824580208,0.04608788853161841,1,True,17
144,mean_burst_size_out,247,0.2068595927116827,282,0.1286173633440514,308,0.1278135048231511,101,1,mean_burst_size_out,1.0,0.1278135048231511,0.15037789589826756,0.15443015362629509,0.0790460878885316,1,True,17
145,ngrams_2_top3_frac,255,0.1982851018220793,301,0.0911039657020364,295,0.1704180064308681,104,1,ngrams_2_top3_frac,1.0,0.0911039657020364,0.14547251562656416,0.15326902465166126,0.10718113612004292,1,True,17
146,pps_w2_min,283,0.1061093247588424,300,0.092711682743837,310,0.0856109324758842,122,1,pps_w2_min,1.0,0.0856109324758842,0.09443632555345437,0.0948106466595212,0.020498392282958203,1,True,18
147,tam_2s_in_min,281,0.1093247588424437,297,0.0964630225080385,311,0.0815916398713826,137,1,tam_2s_in_min,1.0,0.0815916398713826,0.09511339531532999,0.09579314040728826,0.027733118971061108,1,True,18
148,burst_durations_p75,275,0.1387995712754555,306,0.0610932475884244,304,0.1567524115755627,20,2,burst_durations_iqr|burst_durations_p75,0.9999999999997528,0.0610932475884244,0.1099508326357444,0.11888174347981421,0.09565916398713828,1,True,18
