fold,metric,observed_ordered_minus_nopos,bootstrap_mean,ci95_low,ci95_high,p_ordered_gt_nopos
A_EARLY_TO_MIDDLE,accuracy,-0.00044642857142851433,-0.0004856844303517885,-0.002619777006359403,0.0015442375115981427,0.3185
A_EARLY_TO_MIDDLE,macro_f1,-0.0008992035910663221,-0.0009436866115465339,-0.003096410200449223,0.001183137308761572,0.2005
A_EARLY_TO_MIDDLE,top5_accuracy,0.002728174603174649,0.002720209024274967,0.0009418881304082361,0.004628258755618356,0.999
A_EARLY_TO_MIDDLE,mrr,9.018479338440688e-05,6.790013904186931e-05,-0.0012361224989288933,0.0012742829581215275,0.558
B_EARLY_MIDDLE_TO_LATE,accuracy,0.005252438632222023,0.005175183024933679,0.0026769857107193733,0.007597418770948569,1.0
B_EARLY_MIDDLE_TO_LATE,macro_f1,0.005868511940664067,0.005802562078029285,0.0030061669479691635,0.008511883432363535,1.0
B_EARLY_MIDDLE_TO_LATE,top5_accuracy,0.0019294672526529721,0.001963514195024225,0.0007544190861212274,0.003214120754246957,0.9985
B_EARLY_MIDDLE_TO_LATE,mrr,0.0031416125767045333,0.003099913237881012,0.0018797243403465141,0.004188542223816835,1.0
