fold,role,selected_alpha,delta_accuracy_fusion_vs_xgb,delta_macro_f1_fusion_vs_xgb,delta_top5_fusion_vs_xgb,delta_mrr_fusion_vs_xgb,fusion_only_correct_n,xgb_only_correct_n,net_top1_gain_n
A_EARLY_TO_MIDDLE,selection,0.375,0.008184523809523725,0.003871714741056964,-0.011904761904761862,0.0019486689716186056,766,601,165
B_EARLY_MIDDLE_TO_LATE,temporal_transfer,0.375,0.027173330474863255,0.025742371464169245,0.01827634258762989,0.021987128102528564,848,341,507
