fold,site_label,n_queries,xgb_accuracy,fusion_accuracy,delta_accuracy,fusion_only_correct_n,xgb_only_correct_n,net_correct_n
A_EARLY_TO_MIDDLE,0,300,0.8066666666666666,0.83,0.023333333333333317,14,7,7
A_EARLY_TO_MIDDLE,10,326,0.6411042944785276,0.6042944785276073,-0.036809815950920255,3,15,-12
A_EARLY_TO_MIDDLE,102,317,0.5141955835962145,0.5488958990536278,0.034700315457413256,12,1,11
A_EARLY_TO_MIDDLE,104,327,0.6850152905198776,0.6146788990825688,-0.07033639143730885,10,33,-23
A_EARLY_TO_MIDDLE,105,243,0.8559670781893004,0.8930041152263375,0.03703703703703709,11,2,9
A_EARLY_TO_MIDDLE,106,288,0.875,0.8715277777777778,-0.00347222222222221,6,7,-1
A_EARLY_TO_MIDDLE,107,282,0.7624113475177305,0.8014184397163121,0.03900709219858156,12,1,11
A_EARLY_TO_MIDDLE,108,311,0.9614147909967846,0.9646302250803859,0.003215434083601254,1,0,1
A_EARLY_TO_MIDDLE,109,325,0.8430769230769231,0.8492307692307692,0.006153846153846176,6,4,2
A_EARLY_TO_MIDDLE,11,316,0.8512658227848101,0.870253164556962,0.01898734177215189,8,2,6
A_EARLY_TO_MIDDLE,110,209,0.8516746411483254,0.8421052631578947,-0.009569377990430672,4,6,-2
A_EARLY_TO_MIDDLE,113,327,0.8685015290519877,0.8654434250764526,-0.003058103975535187,8,9,-1
A_EARLY_TO_MIDDLE,117,321,0.6137071651090342,0.6043613707165109,-0.009345794392523366,0,3,-3
A_EARLY_TO_MIDDLE,12,328,0.7408536585365854,0.7835365853658537,0.04268292682926833,21,7,14
A_EARLY_TO_MIDDLE,14,276,0.4746376811594203,0.4601449275362319,-0.014492753623188415,12,16,-4
A_EARLY_TO_MIDDLE,18,328,0.8414634146341463,0.8628048780487805,0.021341463414634165,10,3,7
A_EARLY_TO_MIDDLE,2,327,0.926605504587156,0.9510703363914373,0.024464831804281384,8,0,8
