fold,seed,train_loss,n_train_queries,n_train_context_dates,accuracy,macro_f1,top5_accuracy,mrr
A_EARLY_TO_MIDDLE,11,0.8082250254206306,9976,7,0.605109126984127,0.5930765495218414,0.8927579365079366,0.7299838463919519
A_EARLY_TO_MIDDLE,42,0.7897859001121429,9976,7,0.6047619047619047,0.5938917644104301,0.8930555555555556,0.7314515573943147
A_EARLY_TO_MIDDLE,73,0.7862991630947389,9976,7,0.606845238095238,0.5909346723162571,0.8857142857142857,0.7308126752557583
B_EARLY_MIDDLE_TO_LATE,11,0.6725971693044984,30136,21,0.6857648193804267,0.6682920432057128,0.9476899989280737,0.7972048530887321
B_EARLY_MIDDLE_TO_LATE,42,0.6524609697748788,30136,21,0.6824954443134312,0.6684865015905901,0.9572301425661914,0.8003720339326779
B_EARLY_MIDDLE_TO_LATE,73,0.6757559380003303,30136,21,0.6706506592346446,0.6496014928254333,0.942919927109015,0.7858754612968798
