fold,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,p_delta_gt_0
A_EARLY_TO_MIDDLE,accuracy,0.0009424603174603696,0.0009538722996798994,-0.0009869586254513535,0.0027347611822339875,0.8265
A_EARLY_TO_MIDDLE,macro_f1,0.00041583363870423273,0.0004347590398169815,-0.0014349112999667152,0.002370073454239825,0.6705
A_EARLY_TO_MIDDLE,top5_accuracy,0.003918650793650835,0.0039227890238632546,0.002130292135014497,0.005816200941409925,1.0
A_EARLY_TO_MIDDLE,mrr,0.0017358192933988326,0.0017385731735333173,0.0009609198831797589,0.0025040070394290043,1.0
B_EARLY_MIDDLE_TO_LATE,accuracy,0.0033765676921427845,0.0033708343714842883,0.0020903377950310304,0.0046173200711146145,1.0
B_EARLY_MIDDLE_TO_LATE,macro_f1,0.0041361285223713296,0.004110063571343455,0.00260017226400098,0.005572697308436165,1.0
B_EARLY_MIDDLE_TO_LATE,top5_accuracy,5.359631257373376e-05,9.225469281921556e-05,-0.0012823441358641025,0.0013376852694098051,0.545
B_EARLY_MIDDLE_TO_LATE,mrr,0.0018025830932356657,0.0018087494814206333,0.0011344964640179617,0.002459018849838873,1.0
