fold,query_type,distance_metric,delta_accuracy_daily_vs_capture,delta_macro_f1_daily_vs_capture,delta_top5_daily_vs_capture,delta_mrr_daily_vs_capture
A_EARLY_TO_MIDDLE,capture,cosine,-0.0004960317460317443,-0.000547931339697133,-0.007688492063492092,-0.0024035816346129057
A_EARLY_TO_MIDDLE,capture,euclidean,-0.008928571428571425,-0.011117445106098134,-0.017956349206349254,-0.009531761847284104
A_EARLY_TO_MIDDLE,daily_profile,cosine,-0.01651982378854633,-0.013343413983404218,-0.02753303964757714,-0.015624222554608491
A_EARLY_TO_MIDDLE,daily_profile,euclidean,-0.028634361233480177,-0.024425774276125134,-0.025330396475770955,-0.024653600467783754
B_EARLY_MIDDLE_TO_LATE,capture,cosine,-0.0038053381927323493,-0.002768214030690802,-0.00991531782613353,-0.006144492450020245
B_EARLY_MIDDLE_TO_LATE,capture,euclidean,-0.002626219316111067,-0.003719724571081745,-0.0030013935041268702,-0.004344473740761634
B_EARLY_MIDDLE_TO_LATE,daily_profile,cosine,-0.01775147928994092,-0.01832258935964648,-0.004733727810650845,-0.01621432521584376
B_EARLY_MIDDLE_TO_LATE,daily_profile,euclidean,-0.03550295857988173,-0.037358054716086886,-0.007100591715976323,-0.026704693330118157
