fold,seed,n_train_queries,n_train_context_dates,n_test_queries,train_loss,fit_seconds,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,11,9976,7,20160,0.7776518765039317,3.4898489449406043,0.6227678571428571,0.609645914471476,0.8976190476190476,0.7424329981702692,3.704265873015873
A_EARLY_TO_MIDDLE,42,9976,7,20160,0.7667039041650133,2.296550375991501,0.6034226190476191,0.5905652945733897,0.8875992063492063,0.7274992001075173,3.8663690476190475
A_EARLY_TO_MIDDLE,73,9976,7,20160,0.7771431062409375,2.380072086933069,0.6060019841269841,0.5920844904082816,0.8906746031746032,0.7305247106978175,3.7012896825396826
B_EARLY_MIDDLE_TO_LATE,11,30136,21,18658,0.650435083979142,6.874454153003171,0.6992174938364241,0.6811416704154671,0.955193482688391,0.8070621124850857,1.8432307857219423
B_EARLY_MIDDLE_TO_LATE,42,30136,21,18658,0.6384893691497042,7.42103441094514,0.6794404544967306,0.6633325994220314,0.9546039232500804,0.7956905846261408,1.9020259406152857
B_EARLY_MIDDLE_TO_LATE,73,30136,21,18658,0.6663667548913632,7.412327568978071,0.6674884767927967,0.6478240840074925,0.9459213206131418,0.7861798391598293,1.9452245685496838
