rank,prototype_method,worst_fold_macro_f1,mean_macro_f1,worst_fold_top5,mean_top5,worst_fold_mrr,mean_mrr
1,static_capture_median,0.20489011185324435,0.2136298560443682,0.5371527777777778,0.5637848785448005,0.36340580481678886,0.3776354947730238
2,recent_7_days_median,0.20021248983799925,0.22501299224412646,0.4972718253968254,0.5516158676775101,0.3480242174111106,0.3834953837287497
3,recent_3_days_median,0.19744069120886257,0.21312159505755046,0.46056547619047616,0.5170766066770797,0.3341825134169077,0.36460537076061145
4,all_days_median,0.19377266674714622,0.20621127120577826,0.5191964285714286,0.5533060071895626,0.35387404296950475,0.37069737697900096
5,linear_trend,0.1851700824717627,0.21278687857238518,0.476984126984127,0.5304311780809798,0.32622014408548483,0.3671276681810032
6,last_day,0.1791558090005212,0.19757755273330208,0.4459325396825397,0.4893131451762468,0.3141781877846157,0.3425411223449195
