epoch,train_loss,seconds,val_accuracy,val_macro_f1,val_top5_accuracy,val_mrr,val_mean_true_rank
1,3.500889101932789,17.924465894699097,0.12860830790894157,0.07911521566482678,0.4874442619103497,0.2941753438912515,9.957991081905655
2,3.184327244244773,17.9054696559906,0.17601501994836893,0.11025546453583468,0.5078620042243605,0.331941358313492,9.460455292184934
3,3.102144774691812,17.94990587234497,0.1905655949307674,0.13256257048736797,0.5576155831964328,0.36438353635179344,7.747946491433936
4,2.760004083658087,17.903899431228638,0.2987561605256982,0.23713583286490392,0.693733865289838,0.47288722768466496,5.401079558789017
5,2.706317556829288,17.402112007141113,0.30532738793710396,0.2498252328683106,0.7204881483219902,0.48667745363265613,4.960572635531565
6,2.4884002175310562,17.83564782142639,0.36141750762731756,0.30753748462229863,0.7641398732691856,0.5349795663049837,4.399906125322694
7,2.284293670078804,17.830496072769165,0.39239615113823045,0.34460479147154194,0.8216381131189862,0.5746426202545177,3.910349683172964
8,2.137106600763469,17.27064347267151,0.448955644214973,0.3984246856749627,0.8542595634827506,0.6204954782821396,3.5055151372917157
9,2.2478321402751167,17.78633165359497,0.33161229758272703,0.28917784348834186,0.79676132363295,0.5275580000672414,4.187279981225065
10,2.1828855874723403,17.812961101531982,0.4327622623797231,0.39206700679701106,0.8723304388641164,0.6141533351271553,3.200891809434405
11,2.016965496642836,17.806767225265503,0.48861769537667216,0.4486384082411345,0.8943909880309786,0.6626475865782353,2.841117108659939
12,1.8187120353867268,17.489521503448486,0.5609011969021357,0.5320366853609789,0.915512790424783,0.7112381366335508,2.4569349917859657
13,1.6427015477213367,17.88196301460266,0.5991551279042479,0.5705606398698325,0.9206758976766017,0.7364893224869987,2.339826331846984
14,1.507953687731562,17.773329257965088,0.7019478995540953,0.6803045392902799,0.9530626613471016,0.8104532244248706,1.9108190565594931
15,1.4212189617341962,17.315523624420166,0.6613471016193382,0.6372646915663378,0.9488383008683408,0.7839867739552026,2.0628960337948836
16,1.3649743862193207,17.851173162460327,0.7118047406712039,0.6888979382979418,0.9540014081201595,0.8173997357699168,1.9310021121802394
17,1.4809829266420727,17.836116790771484,0.6580614879136353,0.6342145507520229,0.9493076742548697,0.7819274557666105,2.064304153954471
18,1.58213405208341,17.672053813934326,0.6496127669561136,0.6318573449586724,0.9392161464444966,0.7748863461967532,2.5430650082140343
19,1.4922931214858746,17.59286642074585,0.7254165688805445,0.7045171159252747,0.9532973480403661,0.8249013541256532,2.112649612766956
20,1.429807514723005,17.79672145843506,0.7089885003520301,0.6921610056663606,0.9547054681999531,0.8163488201394371,2.1206289603379487
21,1.3379094557001674,17.784313917160034,0.6528983806618165,0.6320132211942368,0.9464914339356958,0.7766353102124007,2.261910349683173
22,1.2664787658843502,17.293888092041016,0.7707111006805915,0.7542987611884828,0.97230697019479,0.8568382532627935,1.7559258390049284
23,1.200309752647219,17.84016704559326,0.783853555503403,0.7733308522697593,0.9741844637409058,0.8659348420451932,1.6662755221778924
24,1.1511521990700015,17.83701467514038,0.7873738559023703,0.7720461151276419,0.9624501290776813,0.8656357173793109,2.1384651490260502
25,1.10045616200258,17.589036226272583,0.8016897441915043,0.7888072984756155,0.9685519831025581,0.87661722308371,1.7216615817883125
26,1.0515674420728767,17.551834106445312,0.7791598216381131,0.7648305652743402,0.9755925839004929,0.8657693630529926,1.6601736681530157
27,1.009003468885504,17.839027404785156,0.823515606665102,0.808206607636266,0.9701947899554095,0.8895178670442055,1.7993428772588593
28,0.9795400850988668,17.85209584236145,0.7887819760619573,0.7787658533875987,0.9784088242196668,0.8726315142660128,1.5862473597747009
29,0.9576836861670017,17.250246047973633,0.8378314949542361,0.8273527955419984,0.9779394508331377,0.90042450901553,1.5719314714855668
30,0.9377128492141592,17.79476761817932,0.8483923961511383,0.8374520731020386,0.9777047641398733,0.9061730006590096,1.5592583900492842
31,0.9202996069758103,17.858410835266113,0.8446374090589064,0.8339671872896481,0.9779394508331377,0.9038453912140876,1.5728702182586247
32,0.9141489747783234,17.563080549240112,0.8383008683407651,0.8269892552642296,0.9758272705937573,0.8998332800804402,1.6294297113353673
33,0.9080330076916464,13.998552799224854,0.8436986622858484,0.8324516387764842,0.9770007040600798,0.9027825693671069,1.6137057028866464
34,1.1127217582844455,16.15282416343689,0.7660173668153015,0.75300546652304,0.9704294766486741,0.8560391399190072,1.742783384182117
35,1.1188862605084633,17.84194803237915,0.6554799342877259,0.6355962906057572,0.9394508331377611,0.7784905640450818,2.4268950950481107
36,1.0984872607835408,17.86131978034973,0.738089650316827,0.7214796507282693,0.9601032621450364,0.8374436630100784,2.0201830556207465
37,1.081993192434311,17.277317762374878,0.8183524994132833,0.8056946035802278,0.9755925839004929,0.8880633009849473,1.6038488617695377
38,1.061208772119777,17.786915063858032,0.8162403191739028,0.8043885649770331,0.9793475709927247,0.8878044848385428,1.5627786904482517
39,1.0276219951438492,17.794979572296143,0.768129547054682,0.7523155219301421,0.971368223421732,0.8578471441840824,1.7709457873738559
