fold,train_n,test_n,epochs,seed,size_min_train,size_max_train,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,19098,20160,30,42,0.0,8754.0,0.7753968253968254,0.7654738518876093,0.9579861111111111,0.8556493330390756,1.9598710317460317
B_EARLY_MIDDLE_TO_LATE,39258,18658,30,42,0.0,13098.0,0.8632222103119306,0.857514502648291,0.9827419873512703,0.9146391909622749,1.4403473041054775
