track,variant,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
DEV_FROZEN,MICRO,18543,0.43116000647144476,0.44136351961491066,0.7238850239982743,0.561488293772484,8.496144097503102
DEV_FROZEN,MICRO_XGB_OUTER55,18543,0.49695302809685593,0.48560434330097363,0.8066655880925416,0.6331788909338634,4.145445720757159
DEV_FROZEN,MICRO_LTD_OUTER55,18543,0.36234697729601467,0.37551796280197547,0.6190476190476191,0.4856443155741848,8.86097179528663
DEV_FROZEN,HYBRID_NO_LTD_RENORM,18543,0.49161408617807256,0.49108465305776794,0.8125977457800787,0.6326590683793173,4.173488648007334
DEV_FROZEN,HYBRID_NO_XGB_RENORM,18543,0.44658361645904116,0.45790743959412294,0.7224289489295151,0.5732618739279411,7.155746103650974
DEV_FROZEN,ACTUAL_HYBRID,18543,0.4945262363155908,0.49262216421256727,0.805587013967535,0.6306348193433953,4.478455481852991
HISTORICAL_FINAL,MICRO,18543,0.22202448363263766,0.20653522233047575,0.5251038127595319,0.3615636246090074,14.604486868360029
HISTORICAL_FINAL,MICRO_XGB_OUTER55,18543,0.3099282748206871,0.2859363808225864,0.6880763630480505,0.47894143273005274,5.9977889230437365
HISTORICAL_FINAL,MICRO_LTD_OUTER55,18543,0.2485574071078035,0.23244332715033125,0.5368602707221054,0.38401342348427286,10.529310251847058
HISTORICAL_FINAL,HYBRID_NO_LTD_RENORM,18543,0.2791349835517446,0.26225533461208156,0.6628377285228927,0.45207871756281326,6.573747505797336
HISTORICAL_FINAL,HYBRID_NO_XGB_RENORM,18543,0.2478563339265491,0.23934672114732142,0.5727767890848299,0.39939672338968996,10.014237178450088
HISTORICAL_FINAL,ACTUAL_HYBRID,18543,0.3024321846518902,0.2875473140056442,0.6833845656042712,0.47258250389624146,6.29930431968937
