track,site_label,model,n,accuracy,mean_true_rank
DEV_FROZEN,0,MICRO_FINAL,299,0.5852842809364549,4.9799331103678925
DEV_FROZEN,0,MACRO_XGB,299,0.6287625418060201,1.6789297658862876
DEV_FROZEN,0,MACRO_LTD,299,0.043478260869565216,8.214046822742475
DEV_FROZEN,0,MACRO_LTD_FINAL,299,0.5585284280936454,2.3578595317725752
DEV_FROZEN,0,LTD_HYBRID_FINAL,299,0.8160535117056856,1.5919732441471572
DEV_FROZEN,10,MICRO_FINAL,329,0.47416413373860183,11.443768996960486
DEV_FROZEN,10,MACRO_XGB,329,0.00911854103343465,8.440729483282675
DEV_FROZEN,10,MACRO_LTD,329,0.0,10.826747720364741
DEV_FROZEN,10,MACRO_LTD_FINAL,329,0.00303951367781155,6.975683890577508
DEV_FROZEN,10,LTD_HYBRID_FINAL,329,0.46200607902735563,4.3890577507598785
DEV_FROZEN,102,MICRO_FINAL,282,0.2198581560283688,4.808510638297872
DEV_FROZEN,102,MACRO_XGB,282,0.09929078014184398,5.152482269503546
DEV_FROZEN,102,MACRO_LTD,282,0.0035460992907801418,18.04964539007092
DEV_FROZEN,102,MACRO_LTD_FINAL,282,0.014184397163120567,9.840425531914894
DEV_FROZEN,102,LTD_HYBRID_FINAL,282,0.1702127659574468,4.358156028368795
DEV_FROZEN,104,MICRO_FINAL,264,0.2689393939393939,16.064393939393938
DEV_FROZEN,104,MACRO_XGB,264,0.5492424242424242,2.1515151515151514
DEV_FROZEN,104,MACRO_LTD,264,0.07954545454545454,7.643939393939394
DEV_FROZEN,104,MACRO_LTD_FINAL,264,0.5037878787878788,2.034090909090909
DEV_FROZEN,104,LTD_HYBRID_FINAL,264,0.5454545454545454,2.1666666666666665
DEV_FROZEN,105,MICRO_FINAL,276,0.5253623188405797,12.184782608695652
DEV_FROZEN,105,MACRO_XGB,276,0.021739130434782608,7.036231884057971
DEV_FROZEN,105,MACRO_LTD,276,0.014492753623188406,20.52536231884058
DEV_FROZEN,105,MACRO_LTD_FINAL,276,0.018115942028985508,11.778985507246377
DEV_FROZEN,105,LTD_HYBRID_FINAL,276,0.4057971014492754,6.1231884057971016
DEV_FROZEN,106,MICRO_FINAL,253,0.6442687747035574,3.814229249011858
DEV_FROZEN,106,MACRO_XGB,253,0.34782608695652173,2.225296442687747
DEV_FROZEN,106,MACRO_LTD,253,0.1383399209486166,5.102766798418973
DEV_FROZEN,106,MACRO_LTD_FINAL,253,0.35968379446640314,1.9446640316205535
DEV_FROZEN,106,LTD_HYBRID_FINAL,253,0.7628458498023716,1.3478260869565217
DEV_FROZEN,107,MICRO_FINAL,236,0.3177966101694915,6.478813559322034
DEV_FROZEN,107,MACRO_XGB,236,0.9279661016949152,1.1991525423728813
DEV_FROZEN,107,MACRO_LTD,236,0.012711864406779662,28.088983050847457
DEV_FROZEN,107,MACRO_LTD_FINAL,236,0.5169491525423728,3.1864406779661016
DEV_FROZEN,107,LTD_HYBRID_FINAL,236,0.4788135593220339,2.5466101694915255
DEV_FROZEN,108,MICRO_FINAL,288,0.7743055555555556,4.888888888888889
DEV_FROZEN,108,MACRO_XGB,288,0.8888888888888888,1.3090277777777777
DEV_FROZEN,108,MACRO_LTD,288,0.13541666666666666,6.402777777777778
DEV_FROZEN,108,MACRO_LTD_FINAL,288,0.8854166666666666,1.375
DEV_FROZEN,108,LTD_HYBRID_FINAL,288,0.9548611111111112,1.1423611111111112
DEV_FROZEN,109,MICRO_FINAL,290,0.5758620689655173,5.4862068965517246
DEV_FROZEN,109,MACRO_XGB,290,0.1724137931034483,3.4827586206896552
DEV_FROZEN,109,MACRO_LTD,290,0.03103448275862069,7.2620689655172415
DEV_FROZEN,109,MACRO_LTD_FINAL,290,0.13448275862068965,3.079310344827586
DEV_FROZEN,109,LTD_HYBRID_FINAL,290,0.6655172413793103,1.8862068965517242
DEV_FROZEN,11,MICRO_FINAL,303,0.5346534653465347,3.5016501650165015
DEV_FROZEN,11,MACRO_XGB,303,0.7986798679867987,1.801980198019802
DEV_FROZEN,11,MACRO_LTD,303,0.5577557755775577,2.5313531353135312
DEV_FROZEN,11,MACRO_LTD_FINAL,303,0.9108910891089109,1.3498349834983498
DEV_FROZEN,11,LTD_HYBRID_FINAL,303,0.9042904290429042,1.2178217821782178
DEV_FROZEN,110,MICRO_FINAL,293,0.6757679180887372,1.7542662116040955
DEV_FROZEN,110,MACRO_XGB,293,0.5460750853242321,2.2525597269624575
DEV_FROZEN,110,MACRO_LTD,293,0.590443686006826,2.0034129692832763
DEV_FROZEN,110,MACRO_LTD_FINAL,293,0.7918088737201365,1.484641638225256
DEV_FROZEN,110,LTD_HYBRID_FINAL,293,0.7508532423208191,1.6040955631399318
DEV_FROZEN,113,MICRO_FINAL,289,0.49480968858131485,5.0
DEV_FROZEN,113,MACRO_XGB,289,0.01384083044982699,4.629757785467128
DEV_FROZEN,113,MACRO_LTD,289,0.01730103806228374,18.418685121107266
DEV_FROZEN,113,MACRO_LTD_FINAL,289,0.01730103806228374,6.595155709342561
