track,comparison,reference,candidate,metric,observed_delta,bootstrap_mean,ci95_low,ci95_high,fraction_delta_gt_0
DEV_FROZEN,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,macro_f1,0.1171042014105918,0.11705547537035056,0.1096675247864605,0.12504918243376112,1.0
DEV_FROZEN,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,top5_accuracy,0.1865393949199159,0.1866829504989189,0.18193521259280113,0.1913894054880923,1.0
DEV_FROZEN,ACTUAL_HYBRID_vs_MICRO_LTD_OUTER55,MICRO_LTD_OUTER55,ACTUAL_HYBRID,mrr,0.14499050376921047,0.14501543991172983,0.14004802801766733,0.15009947931623163,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO,MICRO,ACTUAL_HYBRID,accuracy,0.08040770101925254,0.08037186672980957,0.07692697262222506,0.08376351752151834,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO,MICRO,ACTUAL_HYBRID,macro_f1,0.08101209167516846,0.08089463134535442,0.07635685501191723,0.08507046179205781,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO,MICRO,ACTUAL_HYBRID,top5_accuracy,0.1582807528447393,0.15829259068172502,0.1530672539863343,0.16385112241310149,1.0
HISTORICAL_FINAL,ACTUAL_HYBRID_vs_MICRO,MICRO,ACTUAL_HYBRID,mrr,0.11101887928723408,0.11096592081021964,0.10809751566737455,0.1137835482138639,1.0
HISTORICAL_FINAL,MICRO_XGB_OUTER55_vs_MICRO,MICRO,MICRO_XGB_OUTER55,accuracy,0.08790379118804942,0.08788899846598928,0.08311523922671016,0.09301193421532421,1.0
HISTORICAL_FINAL,MICRO_XGB_OUTER55_vs_MICRO,MICRO,MICRO_XGB_OUTER55,macro_f1,0.07940115849211063,0.07928753380844906,0.07360421577630671,0.08519371797938743,1.0
HISTORICAL_FINAL,MICRO_XGB_OUTER55_vs_MICRO,MICRO,MICRO_XGB_OUTER55,top5_accuracy,0.16297255028851865,0.16297788909539354,0.15655161882471424,0.1694439023850599,1.0
HISTORICAL_FINAL,MICRO_XGB_OUTER55_vs_MICRO,MICRO,MICRO_XGB_OUTER55,mrr,0.11737780812104537,0.117365780635835,0.11415777536314103,0.12082070836548671,1.0
HISTORICAL_FINAL,MICRO_LTD_OUTER55_vs_MICRO,MICRO,MICRO_LTD_OUTER55,accuracy,0.026532923475165837,0.026452193967140058,0.02163396128509684,0.03063475928606635,1.0
HISTORICAL_FINAL,MICRO_LTD_OUTER55_vs_MICRO,MICRO,MICRO_LTD_OUTER55,macro_f1,0.025908104819855504,0.02575687318459878,0.020024635121070163,0.031224298303708427,1.0
HISTORICAL_FINAL,MICRO_LTD_OUTER55_vs_MICRO,MICRO,MICRO_LTD_OUTER55,top5_accuracy,0.011756457962573519,0.011680375590691674,0.0026529735804048243,0.019919889660138575,0.9925
