track,n,both_correct_n,micro_only_correct_n,macro_only_correct_n,both_wrong_n,top1_union_oracle_accuracy,macro_rescue_rate_given_micro_wrong,branch_prediction_agreement_rate,hybrid_correct_when_both_branches_wrong_n,hybrid_accuracy,hybrid_gain_over_micro,hybrid_gain_over_macro
DEV_FROZEN,18543,2194,5801,1942,8606,0.5358895540095993,0.18411073189230187,0.1751065091948444,710,0.4945262363155908,0.06336622984414603,0.2714771072641967
HISTORICAL_FINAL,18543,1224,2893,3143,11283,0.39152240737744703,0.21787051157632054,0.10467561883190422,694,0.3024321846518902,0.08040770101925254,0.06692552445666827
