model,metric,internal_value,future_value,absolute_delta,absolute_drop,retention_ratio,relative_drop_fraction,comparison
MICRO_FINAL,accuracy,0.9500238305984884,0.43116000647144476,-0.5188638241270436,0.5188638241270436,0.4538412538555228,0.5461587461444772,EXACT_SAME_CHECKPOINT
MICRO_FINAL,macro_f1,0.948180175274726,0.44136351961491066,-0.5068166556598153,0.5068166556598153,0.4654848636621514,0.5345151363378486,EXACT_SAME_CHECKPOINT
MICRO_FINAL,top5_accuracy,0.9901954109076052,0.7238850239982743,-0.26631038690933095,0.26631038690933095,0.7310526952803862,0.2689473047196138,EXACT_SAME_CHECKPOINT
MICRO_FINAL,mrr,0.968523090262067,0.561488293772484,-0.40703479648958296,0.40703479648958296,0.5797366107405392,0.42026338925946083,EXACT_SAME_CHECKPOINT
MACRO_XGB,accuracy,0.8248110573976987,0.23334951194520842,-0.5914615454524903,0.5914615454524903,0.2829126863083437,0.7170873136916562,EXACT_SAME_CHECKPOINT
MACRO_XGB,macro_f1,0.8235908812926531,0.194657510176385,-0.6289333711162681,0.6289333711162681,0.2363521920870027,0.7636478079129974,EXACT_SAME_CHECKPOINT
MACRO_XGB,top5_accuracy,0.9801865595424524,0.6057272286037858,-0.37445933093866657,0.37445933093866657,0.6179713674981803,0.38202863250181973,EXACT_SAME_CHECKPOINT
MACRO_XGB,mrr,0.8925671061641605,0.4035026116143654,-0.48906449454979506,0.48906449454979506,0.4520697758496081,0.5479302241503918,EXACT_SAME_CHECKPOINT
MACRO_LTD,accuracy,0.7603322666303534,0.11168635064444804,-0.6486459159859053,0.6486459159859053,0.14689150460419167,0.8531084953958084,EXACT_SAME_CHECKPOINT
MACRO_LTD,macro_f1,0.7536553775737733,0.0781134244331654,-0.6755419531406079,0.6755419531406079,0.10364607850956266,0.8963539214904374,EXACT_SAME_CHECKPOINT
MACRO_LTD,top5_accuracy,0.965343501055355,0.3247047403332794,-0.6406387607220756,0.6406387607220756,0.33636186495097153,0.6636381350490285,EXACT_SAME_CHECKPOINT
MACRO_LTD,mrr,0.8489475788894487,0.23152633527122649,-0.6174212436182223,0.6174212436182223,0.27272159203763535,0.7272784079623646,EXACT_SAME_CHECKPOINT
MACRO_LTD_FINAL,accuracy,0.8406754272485872,0.22304912905139407,-0.6176262981971932,0.6176262981971932,0.2653213378454543,0.7346786621545457,EXACT_SAME_CHECKPOINT
MACRO_LTD_FINAL,macro_f1,0.8394561233325901,0.18327895591817187,-0.6561771674144182,0.6561771674144182,0.21833059623243378,0.7816694037675662,EXACT_SAME_CHECKPOINT
MACRO_LTD_FINAL,top5_accuracy,0.9852250289371554,0.5799493070161247,-0.4052757219210307,0.4052757219210307,0.5886465426500223,0.41135345734997775,EXACT_SAME_CHECKPOINT
MACRO_LTD_FINAL,mrr,0.903854416126642,0.38652734719614024,-0.5173270689305017,0.5173270689305017,0.42764336855547613,0.5723566314445239,EXACT_SAME_CHECKPOINT
LTD_HYBRID_FINAL,accuracy,0.9743991284809695,0.4945262363155908,-0.47987289216537876,0.47987289216537876,0.5075191693639216,0.4924808306360784,EXACT_SAME_CHECKPOINT
LTD_HYBRID_FINAL,macro_f1,0.973790493564454,0.49262216421256727,-0.48116832935188675,0.48116832935188675,0.5058810570324809,0.4941189429675191,EXACT_SAME_CHECKPOINT
LTD_HYBRID_FINAL,top5_accuracy,0.998161639545176,0.805587013967535,-0.19257462557764105,0.19257462557764105,0.8070707008281846,0.19292929917181545,EXACT_SAME_CHECKPOINT
LTD_HYBRID_FINAL,mrr,0.9852734141629084,0.6306348193433953,-0.3546385948195131,0.3546385948195131,0.6400607286041354,0.35993927139586457,EXACT_SAME_CHECKPOINT
