track,model,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
DEV_FROZEN,MICRO_FINAL,18543,0.43116000647144476,0.44136351961491066,0.7238850239982743,0.561488293772484,8.496144097503102
DEV_FROZEN,MACRO_XGB,18543,0.23334951194520842,0.194657510176385,0.6057272286037858,0.4035026116143654,6.975408509949847
DEV_FROZEN,MACRO_LTD,18543,0.11168635064444804,0.0781134244331654,0.3247047403332794,0.23152633527122649,15.00949145230006
DEV_FROZEN,MACRO_LTD_FINAL,18543,0.22304912905139407,0.18327895591817187,0.5799493070161247,0.38652734719614024,7.5825918136223915
DEV_FROZEN,LTD_HYBRID_FINAL,18543,0.4945262363155908,0.49262216421256727,0.805587013967535,0.6306348193433953,4.478455481852991
HISTORICAL_FINAL,MICRO_FINAL,18543,0.22202448363263766,0.20653522233047575,0.5251038127595319,0.3615636246090074,14.604486868360029
HISTORICAL_FINAL,MACRO_XGB,18543,0.23324165453270776,0.20685482338707875,0.629294073235183,0.4094161402484206,6.537884916140862
HISTORICAL_FINAL,MACRO_LTD,18543,0.11513778784446961,0.08220906460325077,0.36849484980855307,0.24928201495704952,13.78552553524241
HISTORICAL_FINAL,MACRO_LTD_FINAL,18543,0.23550666019522193,0.2076237464964693,0.6132233187725826,0.40558512479743425,6.910963705980693
HISTORICAL_FINAL,LTD_HYBRID_FINAL,18543,0.3024321846518902,0.2875473140056442,0.6833845656042712,0.47258250389624146,6.29930431968937
