track,variant,date,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
DEV_FROZEN,MICRO,2026-03-23,136,0.4411764705882353,0.16001665001665,0.7279411764705882,0.5801277554967638,7.073529411764706
DEV_FROZEN,MICRO,2026-03-24,445,0.449438202247191,0.1627859801098682,0.748314606741573,0.5782176663980695,7.746067415730337
DEV_FROZEN,MICRO,2026-03-25,882,0.3866213151927438,0.38948626579376094,0.6621315192743764,0.5083822062264379,9.994331065759637
DEV_FROZEN,MICRO,2026-03-26,1412,0.43271954674220964,0.4383428971654916,0.7422096317280453,0.567494815983073,8.110481586402265
DEV_FROZEN,MICRO,2026-03-27,1408,0.4481534090909091,0.4502744500187676,0.7357954545454546,0.5784063171675842,7.973011363636363
DEV_FROZEN,MICRO,2026-03-28,1319,0.4632297194844579,0.45952205088355275,0.7482941622441244,0.5886513468850482,7.6800606520090975
DEV_FROZEN,MICRO,2026-03-29,1397,0.4509663564781675,0.45385116042071055,0.7487473156764496,0.5813012566761863,8.305654974946313
DEV_FROZEN,MICRO,2026-03-30,1340,0.4223880597014925,0.4359904432086212,0.7059701492537314,0.5510744548623961,8.692537313432835
DEV_FROZEN,MICRO,2026-03-31,1364,0.4347507331378299,0.4413780267824409,0.7470674486803519,0.5736951840765478,8.027859237536656
DEV_FROZEN,MICRO,2026-04-01,1427,0.44639103013314646,0.4456009685603798,0.7358093903293623,0.5731079532833264,7.945339873861247
DEV_FROZEN,MICRO,2026-04-02,1414,0.45544554455445546,0.4517875106007231,0.7461103253182461,0.5872493507360418,7.496463932107496
DEV_FROZEN,MICRO,2026-04-03,1391,0.4227174694464414,0.4356066075019727,0.7081236520488857,0.5542197494807486,8.780733285406182
DEV_FROZEN,MICRO,2026-04-04,1344,0.41592261904761907,0.42312596185414825,0.7113095238095238,0.546915920663042,8.867559523809524
DEV_FROZEN,MICRO,2026-04-05,1430,0.393006993006993,0.40168222628978745,0.6853146853146853,0.5229871507314335,10.125174825174826
DEV_FROZEN,MICRO,2026-04-06,1318,0.4271623672230653,0.4211379140747333,0.708649468892261,0.551642735837427,8.93019726858877
DEV_FROZEN,MICRO,2026-04-07,516,0.3856589147286822,0.38101991387065404,0.7073643410852714,0.5286924035427566,9.674418604651162
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-23,136,0.5220588235294118,0.1828180366641905,0.8602941176470589,0.6631448630345689,3.4044117647058822
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-24,445,0.5213483146067416,0.1793920382995846,0.7820224719101123,0.6358191989684561,4.689887640449438
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-25,882,0.4501133786848073,0.4160738080650033,0.7437641723356009,0.5828136769740898,4.993197278911564
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-26,1412,0.4985835694050991,0.48265668614341517,0.8087818696883853,0.6380774308798822,3.9341359773371103
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-27,1408,0.5028409090909091,0.48884147277434864,0.8231534090909091,0.6422924895620924,3.9701704545454546
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-28,1319,0.5238817285822593,0.5099775296385729,0.8263836239575436,0.6530801698698347,3.871872630780895
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-29,1397,0.525411596277738,0.5089240109385786,0.8332140300644237,0.6591655519704064,3.721546170365068
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-30,1340,0.48656716417910445,0.4742123267830988,0.8156716417910448,0.6321031760971608,3.919402985074627
DEV_FROZEN,MICRO_XGB_OUTER55,2026-03-31,1364,0.4963343108504399,0.48560802515829915,0.8196480938416423,0.6387519106807218,3.8878299120234603
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-01,1427,0.5059565522074282,0.4897817250588732,0.8114926419060967,0.641366636104679,3.9292221443587945
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-02,1414,0.5141442715700142,0.4926416343858591,0.8373408769448374,0.6544020622456055,3.644978783592645
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-03,1391,0.49388928828181167,0.47429452633299757,0.7972681524083394,0.627682825255475,4.413371675053918
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-04,1344,0.49776785714285715,0.4815071279011015,0.7924107142857143,0.6261930158991352,4.534970238095238
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-05,1430,0.45734265734265733,0.44269082362285006,0.7804195804195804,0.6017031745186614,4.627972027972028
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-06,1318,0.49241274658573597,0.4669251480192294,0.7890743550834598,0.6216066854519395,4.506069802731411
DEV_FROZEN,MICRO_XGB_OUTER55,2026-04-07,516,0.46705426356589147,0.44296111056434945,0.7732558139534884,0.6066533847936384,4.567829457364341
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-23,136,0.41911764705882354,0.1403761829093394,0.6691176470588235,0.5281861917611949,7.345588235294118
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-24,445,0.34606741573033706,0.1244886307029705,0.6022471910112359,0.4726893659112054,8.478651685393258
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-25,882,0.3458049886621315,0.33664482780136007,0.5532879818594104,0.4555170800497883,9.97845804988662
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-26,1412,0.3576487252124646,0.3566591514756062,0.6260623229461756,0.4838335544399065,8.712464589235127
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-27,1408,0.3835227272727273,0.3898408361995174,0.6384943181818182,0.5026101206968847,8.202414772727273
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-28,1319,0.3889310083396513,0.391870030643454,0.6482183472327521,0.5098896268084651,8.263078089461713
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-29,1397,0.3994273443092341,0.4113376674969769,0.6578382247673586,0.5191670120932219,7.9713672154617035
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-30,1340,0.3529850746268657,0.3684335101947805,0.6119402985074627,0.47717120406733204,9.000746268656716
DEV_FROZEN,MICRO_LTD_OUTER55,2026-03-31,1364,0.3724340175953079,0.3841676510330049,0.6282991202346041,0.4948538938617972,8.770527859237538
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-01,1427,0.35739313244569026,0.3652847288956415,0.6348983882270498,0.49014563926405363,8.566222845129642
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-02,1414,0.3910891089108911,0.3973002726845206,0.6513437057991514,0.515663960694083,7.8493635077793495
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-03,1391,0.35298346513299783,0.3676204690420985,0.6053199137311287,0.47686403688409296,9.018691588785046
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-04,1344,0.3444940476190476,0.3590277765575255,0.6108630952380952,0.4732540463151535,9.23735119047619
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-05,1430,0.34055944055944054,0.3547487308926626,0.5874125874125874,0.46182812284328195,9.822377622377623
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-06,1318,0.34218512898330805,0.34312717300878043,0.5910470409711684,0.464938949602858,9.760242792109256
DEV_FROZEN,MICRO_LTD_OUTER55,2026-04-07,516,0.2926356589147287,0.29456077418589827,0.560077519379845,0.420805755016426,10.916666666666666
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-23,136,0.5294117647058824,0.18151728613267076,0.8602941176470589,0.665579130977204,3.5294117647058822
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-24,445,0.5078651685393258,0.1761827018151474,0.8044943820224719,0.635581487543112,4.5887640449438205
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-25,882,0.4410430839002268,0.4214203559178293,0.7437641723356009,0.5778736795509163,5.068027210884353
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-26,1412,0.4943342776203966,0.48946829452111323,0.8236543909348442,0.6385212965890691,3.939801699716714
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-27,1408,0.5021306818181818,0.4936633193241174,0.8338068181818182,0.6445593739396946,3.9985795454545454
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-28,1319,0.5208491281273692,0.5112196231065392,0.8362395754359363,0.6562845788810767,3.8582259287338894
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-29,1397,0.5110952040085899,0.504192782057704,0.8367931281317108,0.652098654697587,3.7838224767358626
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-30,1340,0.4783582089552239,0.4820959110870438,0.8164179104477612,0.6275252101918664,3.9567164179104477
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-03-31,1364,0.49780058651026393,0.49686712709364367,0.8269794721407625,0.6400504416072561,3.8951612903225805
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-01,1427,0.5066573230553609,0.49660201346403016,0.8114926419060967,0.6432720181311503,3.9138051857042746
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-02,1414,0.5077793493635078,0.49410674232237994,0.8408769448373409,0.6523026754607889,3.6916548797736914
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-03,1391,0.48382458662832495,0.4786209608597245,0.8044572250179727,0.6272354078761027,4.473759884974839
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-04,1344,0.47470238095238093,0.4701772023042207,0.7998511904761905,0.6173719667711962,4.567708333333333
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-05,1430,0.458041958041958,0.45802599111146713,0.7811188811188812,0.6022017116104262,4.717482517482518
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-06,1318,0.4977238239757208,0.48601350734114895,0.7928679817905918,0.6306729642306989,4.503034901365706
DEV_FROZEN,HYBRID_NO_LTD_RENORM,2026-04-07,516,0.46511627906976744,0.45185798238259495,0.7810077519379846,0.6081039132508566,4.5852713178294575
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-23,136,0.4632352941176471,0.16542030618953696,0.7720588235294118,0.5974214616857951,5.448529411764706
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-24,445,0.45393258426966293,0.1633026800839809,0.7213483146067415,0.5788723671478774,6.692134831460674
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-25,882,0.39909297052154197,0.3979719320466856,0.6383219954648526,0.5182967480193112,8.41156462585034
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-26,1412,0.4447592067988669,0.4482786429258043,0.7365439093484419,0.5764101956370582,6.954674220963173
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-27,1408,0.46519886363636365,0.4703715706410723,0.7407670454545454,0.5907011523243306,6.490767045454546
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-28,1319,0.4791508718726308,0.4787351601783521,0.7513267626990144,0.6010762237854502,6.506444275966642
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-29,1397,0.4617036506800286,0.4633149787340696,0.7637795275590551,0.5941027223340369,6.536864710093057
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-30,1340,0.42835820895522386,0.44086286201213953,0.7156716417910448,0.559331339294983,7.111194029850746
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-03-31,1364,0.4508797653958944,0.46452318964183476,0.7434017595307918,0.5836592098320239,6.9853372434017595
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-01,1427,0.45970567624386827,0.46030409323000493,0.7295024526979678,0.5861272856615717,6.9060967063770144
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-02,1414,0.4809052333804809,0.4807808927342174,0.7545968882602546,0.606681128395243,6.223479490806223
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-03,1391,0.44716031631919484,0.4595766997417462,0.7232207045291158,0.5704311057977471,7.278217109992811
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-04,1344,0.4263392857142857,0.43410360243559243,0.7075892857142857,0.556195664582325,7.493303571428571
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-05,1430,0.4160839160839161,0.4277326859068573,0.6755244755244755,0.5393620476541802,8.316083916083915
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-06,1318,0.44309559939301973,0.44167801311527205,0.6957511380880121,0.5626670725515938,7.948406676783004
DEV_FROZEN,HYBRID_NO_XGB_RENORM,2026-04-07,516,0.39728682170542634,0.3935136751751881,0.6686046511627907,0.5269083975755426,8.920542635658915
DEV_FROZEN,ACTUAL_HYBRID,2026-03-23,136,0.5,0.17215434138511063,0.8161764705882353,0.6493333799994699,3.389705882352941
DEV_FROZEN,ACTUAL_HYBRID,2026-03-24,445,0.4966292134831461,0.17134886435505733,0.7752808988764045,0.62715002184483,4.701123595505618
DEV_FROZEN,ACTUAL_HYBRID,2026-03-25,882,0.4478458049886621,0.4212412658047605,0.7494331065759637,0.5777674701488474,5.324263038548753
DEV_FROZEN,ACTUAL_HYBRID,2026-03-26,1412,0.4915014164305949,0.4851252634677886,0.8116147308781869,0.6334415269370015,4.402974504249292
DEV_FROZEN,ACTUAL_HYBRID,2026-03-27,1408,0.5085227272727273,0.5050146249337607,0.8288352272727273,0.6469076866569877,4.1946022727272725
DEV_FROZEN,ACTUAL_HYBRID,2026-03-28,1319,0.5056861258529188,0.4961279330155403,0.8316906747536013,0.6440585980999577,4.012130401819561
DEV_FROZEN,ACTUAL_HYBRID,2026-03-29,1397,0.5225483178239084,0.5122667424388098,0.8324982104509664,0.6575697435788154,4.047244094488189
DEV_FROZEN,ACTUAL_HYBRID,2026-03-30,1340,0.48208955223880595,0.4839694654639118,0.8126865671641791,0.6273163946437655,4.154477611940298
DEV_FROZEN,ACTUAL_HYBRID,2026-03-31,1364,0.5087976539589443,0.5066539215580764,0.8203812316715543,0.6405013903265118,4.439149560117302
DEV_FROZEN,ACTUAL_HYBRID,2026-04-01,1427,0.5164681149264191,0.5043831244356308,0.8037841625788367,0.6445264476770785,4.276103714085494
DEV_FROZEN,ACTUAL_HYBRID,2026-04-02,1414,0.5254596888260255,0.5128463507204796,0.830975954738331,0.6595643101178875,3.9193776520509194
DEV_FROZEN,ACTUAL_HYBRID,2026-04-03,1391,0.4867002156721783,0.48261801903980617,0.8023005032350827,0.6261131265186799,4.716750539180445
DEV_FROZEN,ACTUAL_HYBRID,2026-04-04,1344,0.4732142857142857,0.4685735343451164,0.7901785714285714,0.6129896217110332,4.859375
DEV_FROZEN,ACTUAL_HYBRID,2026-04-05,1430,0.45454545454545453,0.4498587746944782,0.7748251748251749,0.5938312629079802,4.9937062937062935
DEV_FROZEN,ACTUAL_HYBRID,2026-04-06,1318,0.4992412746585736,0.4868753553819081,0.7883156297420334,0.6253218029283336,4.98103186646434
DEV_FROZEN,ACTUAL_HYBRID,2026-04-07,516,0.46124031007751937,0.44645839497235457,0.7616279069767442,0.5983148684804709,5.158914728682171
HISTORICAL_FINAL,MICRO,2026-03-23,136,0.15441176470588236,0.05019047619047619,0.47058823529411764,0.29143495110474354,15.617647058823529
HISTORICAL_FINAL,MICRO,2026-03-24,445,0.15730337078651685,0.052327070260378326,0.44269662921348313,0.2963882541995985,16.34606741573034
HISTORICAL_FINAL,MICRO,2026-03-25,882,0.1893424036281179,0.17964181764938916,0.46485260770975056,0.32207604932157996,16.148526077097507
HISTORICAL_FINAL,MICRO,2026-03-26,1412,0.2075070821529745,0.18643754101781385,0.5035410764872521,0.34641888390170616,15.115439093484419
HISTORICAL_FINAL,MICRO,2026-03-27,1408,0.22230113636363635,0.19309447015278536,0.5390625,0.36541571939620615,14.085227272727273
HISTORICAL_FINAL,MICRO,2026-03-28,1319,0.23351023502653526,0.2106387091758394,0.5534495830174374,0.3780942421309856,13.323730098559516
HISTORICAL_FINAL,MICRO,2026-03-29,1397,0.23407301360057264,0.21094700490463486,0.5533285612025769,0.3771626883766553,14.383679312813172
HISTORICAL_FINAL,MICRO,2026-03-30,1340,0.21492537313432836,0.19297143325698454,0.5119402985074627,0.3542823477904628,15.030597014925373
HISTORICAL_FINAL,MICRO,2026-03-31,1364,0.25219941348973607,0.2338169569761313,0.5454545454545454,0.3878781930710653,13.546187683284458
HISTORICAL_FINAL,MICRO,2026-04-01,1427,0.22564821303433777,0.20430883536380096,0.5459004905395936,0.37105562821431926,14.098808689558515
HISTORICAL_FINAL,MICRO,2026-04-02,1414,0.24823196605374823,0.22306693182450094,0.5438472418670438,0.3851424419395463,13.692362093352193
HISTORICAL_FINAL,MICRO,2026-04-03,1391,0.23076923076923078,0.20707467900786328,0.5212077641984184,0.36683279096801935,14.600287562904386
HISTORICAL_FINAL,MICRO,2026-04-04,1344,0.21875,0.19812100768632168,0.5252976190476191,0.3597836697852687,14.287946428571429
HISTORICAL_FINAL,MICRO,2026-04-05,1430,0.2083916083916084,0.1919391735304414,0.5048951048951049,0.34375910284081285,15.73986013986014
