track,date,model,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
DEV_FROZEN,2026-03-23,MICRO_FINAL,136,0.4411764705882353,0.16001665001665,0.7279411764705882,0.5801277554967638,7.073529411764706
DEV_FROZEN,2026-03-23,MACRO_XGB,136,0.25,0.08657658580735504,0.6544117647058824,0.43220992149099624,5.669117647058823
DEV_FROZEN,2026-03-23,MACRO_LTD,136,0.10294117647058823,0.025842131724484664,0.35294117647058826,0.23278506620683342,12.970588235294118
DEV_FROZEN,2026-03-23,MACRO_LTD_FINAL,136,0.25735294117647056,0.07572392519760941,0.6102941176470589,0.42499519732099184,6.389705882352941
DEV_FROZEN,2026-03-23,LTD_HYBRID_FINAL,136,0.5,0.17215434138511063,0.8161764705882353,0.6493333799994699,3.389705882352941
DEV_FROZEN,2026-03-24,MICRO_FINAL,445,0.449438202247191,0.1627859801098682,0.748314606741573,0.5782176663980695,7.746067415730337
DEV_FROZEN,2026-03-24,MACRO_XGB,445,0.18651685393258427,0.0626749435526568,0.5348314606741573,0.3516577003292895,8.004494382022472
DEV_FROZEN,2026-03-24,MACRO_LTD,445,0.10337078651685393,0.02961304043046397,0.29213483146067415,0.21575175940131372,14.770786516853933
DEV_FROZEN,2026-03-24,MACRO_LTD_FINAL,445,0.21348314606741572,0.06689747517128308,0.5101123595505618,0.3564561475210774,8.006741573033707
DEV_FROZEN,2026-03-24,LTD_HYBRID_FINAL,445,0.4966292134831461,0.17134886435505733,0.7752808988764045,0.62715002184483,4.701123595505618
DEV_FROZEN,2026-03-25,MICRO_FINAL,882,0.3866213151927438,0.38948626579376094,0.6621315192743764,0.5083822062264379,9.994331065759637
DEV_FROZEN,2026-03-25,MACRO_XGB,882,0.20748299319727892,0.16506474030534016,0.5634920634920635,0.3782761262013278,7.478458049886621
DEV_FROZEN,2026-03-25,MACRO_LTD,882,0.11224489795918367,0.06890490084342053,0.32086167800453513,0.23059382239747456,15.300453514739228
DEV_FROZEN,2026-03-25,MACRO_LTD_FINAL,882,0.21541950113378686,0.17402583656188217,0.5476190476190477,0.3709970179688945,8.026077097505668
DEV_FROZEN,2026-03-25,LTD_HYBRID_FINAL,882,0.4478458049886621,0.4212412658047605,0.7494331065759637,0.5777674701488474,5.324263038548753
DEV_FROZEN,2026-03-26,MICRO_FINAL,1412,0.43271954674220964,0.4383428971654916,0.7422096317280453,0.567494815983073,8.110481586402265
DEV_FROZEN,2026-03-26,MACRO_XGB,1412,0.22592067988668554,0.1891614250005449,0.6147308781869688,0.3996190822936924,6.886685552407932
DEV_FROZEN,2026-03-26,MACRO_LTD,1412,0.12677053824362605,0.08576226353414085,0.3342776203966006,0.2445082324588826,14.713172804532578
DEV_FROZEN,2026-03-26,MACRO_LTD_FINAL,1412,0.22804532577903683,0.18401129747058143,0.5934844192634561,0.39250004109680653,7.531869688385269
DEV_FROZEN,2026-03-26,LTD_HYBRID_FINAL,1412,0.4915014164305949,0.4851252634677886,0.8116147308781869,0.6334415269370015,4.402974504249292
DEV_FROZEN,2026-03-27,MICRO_FINAL,1408,0.4481534090909091,0.4502744500187676,0.7357954545454546,0.5784063171675842,7.973011363636363
DEV_FROZEN,2026-03-27,MACRO_XGB,1408,0.23650568181818182,0.20482047156884584,0.6292613636363636,0.411081160655254,6.8366477272727275
DEV_FROZEN,2026-03-27,MACRO_LTD,1408,0.11789772727272728,0.08651982092423738,0.3330965909090909,0.23910202986661747,14.494318181818182
DEV_FROZEN,2026-03-27,MACRO_LTD_FINAL,1408,0.22869318181818182,0.18688940408638638,0.6051136363636364,0.3970861759438588,7.317471590909091
DEV_FROZEN,2026-03-27,LTD_HYBRID_FINAL,1408,0.5085227272727273,0.5050146249337607,0.8288352272727273,0.6469076866569877,4.1946022727272725
DEV_FROZEN,2026-03-28,MICRO_FINAL,1319,0.4632297194844579,0.45952205088355275,0.7482941622441244,0.5886513468850482,7.6800606520090975
DEV_FROZEN,2026-03-28,MACRO_XGB,1319,0.2266868840030326,0.18645207983468917,0.6065200909780136,0.39941411428208023,6.730856709628506
DEV_FROZEN,2026-03-28,MACRO_LTD,1319,0.10159211523881728,0.06926174258515481,0.3411675511751327,0.23220805810223002,14.54814253222138
DEV_FROZEN,2026-03-28,MACRO_LTD_FINAL,1319,0.2100075815011372,0.1716432297493931,0.5936315390447309,0.3826180994921698,7.164518574677786
DEV_FROZEN,2026-03-28,LTD_HYBRID_FINAL,1319,0.5056861258529188,0.4961279330155403,0.8316906747536013,0.6440585980999577,4.012130401819561
DEV_FROZEN,2026-03-29,MICRO_FINAL,1397,0.4509663564781675,0.45385116042071055,0.7487473156764496,0.5813012566761863,8.305654974946313
DEV_FROZEN,2026-03-29,MACRO_XGB,1397,0.25483178239083754,0.2152582765328457,0.6263421617752326,0.4230524257687332,6.586972083035075
DEV_FROZEN,2026-03-29,MACRO_LTD,1397,0.11238367931281316,0.07969500959080052,0.33142448103078026,0.23770512102631877,14.178954903364351
DEV_FROZEN,2026-03-29,MACRO_LTD_FINAL,1397,0.23979957050823192,0.2111744834217901,0.6005726556907659,0.4054577899061092,7.307086614173229
DEV_FROZEN,2026-03-29,LTD_HYBRID_FINAL,1397,0.5225483178239084,0.5122667424388098,0.8324982104509664,0.6575697435788154,4.047244094488189
DEV_FROZEN,2026-03-30,MICRO_FINAL,1340,0.4223880597014925,0.4359904432086212,0.7059701492537314,0.5510744548623961,8.692537313432835
DEV_FROZEN,2026-03-30,MACRO_XGB,1340,0.23880597014925373,0.19632927033789568,0.6343283582089553,0.4119684870109913,6.688059701492537
DEV_FROZEN,2026-03-30,MACRO_LTD,1340,0.11641791044776119,0.07339283019595802,0.32611940298507464,0.23386063212231928,15.319402985074626
DEV_FROZEN,2026-03-30,MACRO_LTD_FINAL,1340,0.22313432835820896,0.17612650614037317,0.5850746268656717,0.38978381150547015,7.576119402985075
DEV_FROZEN,2026-03-30,LTD_HYBRID_FINAL,1340,0.48208955223880595,0.4839694654639118,0.8126865671641791,0.6273163946437655,4.154477611940298
DEV_FROZEN,2026-03-31,MICRO_FINAL,1364,0.4347507331378299,0.4413780267824409,0.7470674486803519,0.5736951840765478,8.027859237536656
