track,variant,site_label,n,accuracy,top5_accuracy,mrr,mean_true_rank
DEV_FROZEN,MICRO,0,299,0.5852842809364549,0.8662207357859532,0.7171137795204628,4.9799331103678925
DEV_FROZEN,MICRO,10,329,0.47416413373860183,0.7082066869300911,0.5781240171697801,11.443768996960486
DEV_FROZEN,MICRO,102,282,0.2198581560283688,0.8297872340425532,0.4743886325997596,4.808510638297872
DEV_FROZEN,MICRO,104,264,0.2689393939393939,0.6212121212121212,0.41123885244111613,16.064393939393938
DEV_FROZEN,MICRO,105,276,0.5253623188405797,0.7028985507246377,0.6063523111567161,12.184782608695652
DEV_FROZEN,MICRO,106,253,0.6442687747035574,0.841897233201581,0.7393436397152747,3.814229249011858
DEV_FROZEN,MICRO,107,236,0.3177966101694915,0.7669491525423728,0.5206517573820529,6.478813559322034
DEV_FROZEN,MICRO,108,288,0.7743055555555556,0.8541666666666666,0.8125678138019512,4.888888888888889
DEV_FROZEN,MICRO,109,290,0.5758620689655173,0.7724137931034483,0.6747177723525695,5.4862068965517246
DEV_FROZEN,MICRO,11,303,0.5346534653465347,0.8778877887788779,0.6767774506591052,3.5016501650165015
DEV_FROZEN,MICRO,110,293,0.6757679180887372,0.9931740614334471,0.7868031854379977,1.7542662116040955
DEV_FROZEN,MICRO,113,289,0.49480968858131485,0.8096885813148789,0.6334703880259072,5.0
DEV_FROZEN,MICRO,117,289,0.3356401384083045,1.0,0.5749711649365629,2.2214532871972317
DEV_FROZEN,MICRO,12,312,0.4423076923076923,0.7788461538461539,0.5976933539683592,5.076923076923077
DEV_FROZEN,MICRO,14,306,0.16993464052287582,0.3888888888888889,0.28094385855683124,23.57843137254902
DEV_FROZEN,MICRO,18,330,0.6363636363636364,0.896969696969697,0.7512898196203932,4.257575757575758
DEV_FROZEN,MICRO,2,287,0.2926829268292683,0.6411149825783972,0.4473339045969561,11.526132404181185
DEV_FROZEN,MICRO,21,308,0.44805194805194803,0.8993506493506493,0.6296597670175823,2.737012987012987
DEV_FROZEN,MICRO,24,263,0.3574144486692015,0.5665399239543726,0.45535550833728106,16.844106463878326
DEV_FROZEN,MICRO,25,312,0.4391025641025641,0.7756410256410257,0.5876479827762707,4.698717948717949
DEV_FROZEN,MICRO,27,310,0.2161290322580645,0.6129032258064516,0.3907778542694801,16.838709677419356
DEV_FROZEN,MICRO,28,286,0.4825174825174825,0.8076923076923077,0.6094764917380139,3.7552447552447554
DEV_FROZEN,MICRO,29,320,0.33125,0.6,0.44089283874971985,18.634375
DEV_FROZEN,MICRO,31,289,0.8235294117647058,0.9100346020761245,0.8683302707778647,2.982698961937716
DEV_FROZEN,MICRO,34,251,0.4262948207171315,0.8326693227091634,0.5985529297835033,4.47410358565737
DEV_FROZEN,MICRO,35,297,0.20875420875420875,0.5420875420875421,0.3648915847967861,8.333333333333334
DEV_FROZEN,MICRO,36,305,0.05901639344262295,0.4524590163934426,0.22704364632503443,10.691803278688525
DEV_FROZEN,MICRO,37,316,0.31645569620253167,0.4936708860759494,0.41182473013382237,15.677215189873417
DEV_FROZEN,MICRO,39,284,0.1443661971830986,0.5070422535211268,0.3043997003844386,9.133802816901408
DEV_FROZEN,MICRO,40,219,0.4200913242009132,0.730593607305936,0.5534201767897318,6.575342465753424
DEV_FROZEN,MICRO,41,267,0.30711610486891383,0.7378277153558053,0.4969452404983311,6.8277153558052435
DEV_FROZEN,MICRO,42,279,0.46236559139784944,0.7383512544802867,0.5795567401335986,8.10394265232975
DEV_FROZEN,MICRO,43,260,0.5269230769230769,0.8,0.6425258500150687,5.565384615384615
DEV_FROZEN,MICRO,45,273,0.5238095238095238,0.8278388278388278,0.6582217832523539,3.318681318681319
DEV_FROZEN,MICRO,46,284,0.3873239436619718,0.7077464788732394,0.5338686203350933,10.619718309859154
DEV_FROZEN,MICRO,47,295,0.6237288135593221,0.8372881355932204,0.7143825708516462,5.840677966101695
DEV_FROZEN,MICRO,48,260,0.3230769230769231,0.6346153846153846,0.48536584084480333,8.580769230769231
DEV_FROZEN,MICRO,50,290,0.2482758620689655,0.5172413793103449,0.364706128315795,15.593103448275862
DEV_FROZEN,MICRO,51,299,0.006688963210702341,0.17725752508361203,0.10299166204520686,24.51505016722408
DEV_FROZEN,MICRO,52,291,0.5395189003436426,0.8109965635738832,0.6614847843489997,6.86254295532646
DEV_FROZEN,MICRO,53,298,0.674496644295302,0.8523489932885906,0.7610677236736912,4.218120805369128
DEV_FROZEN,MICRO,54,288,0.875,0.9270833333333334,0.9010234836791847,2.7465277777777777
DEV_FROZEN,MICRO,55,281,0.12455516014234876,0.594306049822064,0.3234850066855853,11.227758007117437
DEV_FROZEN,MICRO,57,240,0.30416666666666664,0.6333333333333333,0.4539671177220531,12.8625
DEV_FROZEN,MICRO,6,325,0.6276923076923077,0.8369230769230769,0.7202738224608236,5.310769230769231
DEV_FROZEN,MICRO,60,293,0.33447098976109213,0.7201365187713311,0.5025466216941333,7.296928327645051
DEV_FROZEN,MICRO,61,276,0.2391304347826087,0.8586956521739131,0.48623818304032546,3.4166666666666665
DEV_FROZEN,MICRO,63,274,0.42700729927007297,0.7153284671532847,0.5528667656675108,9.065693430656934
DEV_FROZEN,MICRO,68,289,0.754325259515571,0.8650519031141869,0.8080497687305204,5.328719723183391
DEV_FROZEN,MICRO,7,338,0.10355029585798817,0.5384615384615384,0.3025136296721263,9.99112426035503
DEV_FROZEN,MICRO,71,289,0.25951557093425603,0.5467128027681661,0.3820771738606575,15.844290657439446
DEV_FROZEN,MICRO,72,297,0.4781144781144781,0.6868686868686869,0.5807937593098377,8.373737373737374
DEV_FROZEN,MICRO,76,269,0.7211895910780669,0.8847583643122676,0.7897286471717346,4.769516728624535
DEV_FROZEN,MICRO,77,257,0.007782101167315175,0.14396887159533073,0.10811381304383731,23.762645914396888
DEV_FROZEN,MICRO,78,293,0.6655290102389079,0.7610921501706485,0.7134034810083156,7.255972696245734
