date,model,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
2025-12-29,MICRO_FINAL,1460,0.9445205479452055,0.9427388284104067,0.9897260273972602,0.9651246973966119,1.210958904109589
2025-12-29,MACRO_XGB,1460,0.834931506849315,0.8355453994292998,0.9808219178082191,0.897594197879991,1.4404109589041096
2025-12-29,MACRO_LTD,1460,0.786986301369863,0.7820440525387841,0.9835616438356164,0.8730265199926762,1.4376712328767123
2025-12-29,MACRO_LTD_FINAL,1460,0.8602739726027397,0.8613038318142893,0.986986301369863,0.9169420229694202,1.3006849315068494
2025-12-29,LTD_HYBRID_FINAL,1460,0.9746575342465753,0.9742354388960671,0.9972602739726028,0.9843862796260057,1.0602739726027397
2025-12-30,MICRO_FINAL,1384,0.9638728323699421,0.9634647331812461,0.9963872832369942,0.9786780964250783,1.158236994219653
2025-12-30,MACRO_XGB,1384,0.8410404624277457,0.8395868722499206,0.9804913294797688,0.900768000712216,1.4638728323699421
2025-12-30,MACRO_LTD,1384,0.809971098265896,0.804358382247601,0.9855491329479769,0.8861337001149139,1.380057803468208
2025-12-30,MACRO_LTD_FINAL,1384,0.8670520231213873,0.8648245433626984,0.9884393063583815,0.919324356030509,1.2919075144508672
2025-12-30,LTD_HYBRID_FINAL,1384,0.9776011560693642,0.976976696045876,0.9985549132947977,0.9871777227268557,1.0382947976878614
2025-12-31,MICRO_FINAL,1412,0.953257790368272,0.950044059983447,0.9907932011331445,0.9713878151409757,1.211756373937677
2025-12-31,MACRO_XGB,1412,0.8031161473087819,0.7978795574501659,0.9752124645892352,0.8771893801859857,1.5148725212464589
2025-12-31,MACRO_LTD,1412,0.7669971671388102,0.7594394155449489,0.9716713881019831,0.8535609521808644,1.570113314447592
2025-12-31,MACRO_LTD_FINAL,1412,0.8243626062322946,0.8199593871550765,0.9808781869688386,0.8924498633390903,1.4001416430594902
2025-12-31,LTD_HYBRID_FINAL,1412,0.9709631728045326,0.9681525799964651,0.9964589235127479,0.9828339546823968,1.061614730878187
2026-01-01,MICRO_FINAL,1384,0.9515895953757225,0.9414535573915604,0.994942196531792,0.9708928672625119,1.1777456647398843
2026-01-01,MACRO_XGB,1384,0.8265895953757225,0.8156183215067223,0.9869942196531792,0.897063932775638,1.3460982658959537
2026-01-01,MACRO_LTD,1384,0.7854046242774566,0.775568876588069,0.9790462427745664,0.8712490463935549,1.4342485549132948
2026-01-01,MACRO_LTD_FINAL,1384,0.8540462427745664,0.8476949340435576,0.9934971098265896,0.9153107509863291,1.2572254335260116
2026-01-01,LTD_HYBRID_FINAL,1384,0.9812138728323699,0.9820654586285008,0.9985549132947977,0.9894026974951832,1.0289017341040463
2026-01-02,MICRO_FINAL,1410,0.9517730496453901,0.9416621291399951,0.9957446808510638,0.9719644201657079,1.1070921985815603
2026-01-02,MACRO_XGB,1410,0.8184397163120567,0.8014724116613737,0.9709219858156029,0.8870795234061818,1.4843971631205675
2026-01-02,MACRO_LTD,1410,0.774468085106383,0.7523558149542805,0.9609929078014184,0.8548246667905095,1.695744680851064
2026-01-02,MACRO_LTD_FINAL,1410,0.8304964539007093,0.8134185701873228,0.9765957446808511,0.896346039550868,1.4304964539007092
2026-01-02,LTD_HYBRID_FINAL,1410,0.9695035460992908,0.9669867927965835,0.9971631205673759,0.9822591159825202,1.0574468085106383
2026-01-03,MICRO_FINAL,1403,0.9501069137562367,0.938784067780734,0.9900213827512473,0.969079083272845,1.324305060584462
2026-01-03,MACRO_XGB,1403,0.8203848895224519,0.8075965573451344,0.9764789736279401,0.8902293685169664,1.4126870990734142
2026-01-03,MACRO_LTD,1403,0.7605131860299359,0.7356402406316762,0.9643620812544548,0.8500396055991208,1.5880256593014968
2026-01-03,MACRO_LTD_FINAL,1403,0.8374910905203136,0.8205171493649379,0.9864575908766928,0.9032773257470335,1.3186029935851746
2026-01-03,LTD_HYBRID_FINAL,1403,0.9729151817533856,0.9646232692621346,1.0,0.9854478498455691,1.0334996436208126
2026-01-04,MICRO_FINAL,1424,0.9487359550561798,0.9357039383769382,0.9887640449438202,0.9666019958677917,1.3068820224719102
2026-01-04,MACRO_XGB,1424,0.8202247191011236,0.8089044614738476,0.9810393258426966,0.8899082191217024,1.4262640449438202
2026-01-04,MACRO_LTD,1424,0.7408707865168539,0.7133188542521575,0.9564606741573034,0.8358970198418935,1.696629213483146
2026-01-04,MACRO_LTD_FINAL,1424,0.8356741573033708,0.8216752787278504,0.9845505617977528,0.9005302551372031,1.3637640449438202
2026-01-04,LTD_HYBRID_FINAL,1424,0.9698033707865169,0.9634175221112063,0.9985955056179775,0.9829952000246943,1.0688202247191012
2026-01-05,MICRO_FINAL,1448,0.9468232044198895,0.9414271367215992,0.986878453038674,0.965367017721994,1.3017955801104972
2026-01-05,MACRO_XGB,1448,0.8314917127071824,0.8317962397842817,0.9820441988950276,0.8980594547410846,1.3722375690607735
2026-01-05,MACRO_LTD,1448,0.7410220994475138,0.7255197369640001,0.9558011049723757,0.8336186277657271,1.669889502762431
2026-01-05,MACRO_LTD_FINAL,1448,0.8349447513812155,0.832953756661509,0.988950276243094,0.9008038155828212,1.3211325966850829
2026-01-05,LTD_HYBRID_FINAL,1448,0.9730662983425414,0.9733494857986723,0.9993093922651933,0.9849063842848372,1.0414364640883977
2026-01-06,MICRO_FINAL,1430,0.9482517482517483,0.9430235805701537,0.9846153846153847,0.9654292811345859,1.3426573426573427
2026-01-06,MACRO_XGB,1430,0.8202797202797203,0.8173316632744628,0.9811188811188811,0.889781589816555,1.4034965034965035
2026-01-06,MACRO_LTD,1430,0.7202797202797203,0.7010869198443613,0.9524475524475524,0.8187228253486994,1.7636363636363637
2026-01-06,MACRO_LTD_FINAL,1430,0.8216783216783217,0.8141383707839086,0.9832167832167832,0.8906304806304807,1.3755244755244755
2026-01-06,LTD_HYBRID_FINAL,1430,0.9755244755244755,0.974346412241153,0.9979020979020979,0.9860897435897434,1.0419580419580419
2026-01-07,MICRO_FINAL,1440,0.9451388888888889,0.9413534092385132,0.9854166666666667,0.963534397757998,1.325
2026-01-07,MACRO_XGB,1440,0.8256944444444444,0.8219218948772211,0.9819444444444444,0.8930082468593497,1.4208333333333334
2026-01-07,MACRO_LTD,1440,0.7159722222222222,0.6928957027523556,0.9416666666666667,0.8125718070509738,1.84375
2026-01-07,MACRO_LTD_FINAL,1440,0.8326388888888889,0.8285446901753049,0.98125,0.8973396940523167,1.3923611111111112
2026-01-07,LTD_HYBRID_FINAL,1440,0.9763888888888889,0.9759054925429848,0.9972222222222222,0.9856836970899472,1.054861111111111
2026-01-08,MICRO_FINAL,492,0.9410569105691057,0.9353828704174025,0.9878048780487805,0.9621481400825912,1.4126016260162602
2026-01-08,MACRO_XGB,492,0.8414634146341463,0.8359767699158029,0.9939024390243902,0.9067924453595186,1.3191056910569106
2026-01-08,MACRO_LTD,492,0.7703252032520326,0.7529571082512259,0.9735772357723578,0.8541586744330647,1.5691056910569106
2026-01-08,MACRO_LTD_FINAL,492,0.8658536585365854,0.8583233667182226,0.9898373983739838,0.921269313342484,1.2703252032520325
2026-01-08,LTD_HYBRID_FINAL,492,0.9817073170731707,0.9804413987219417,1.0,0.9901761517615175,1.0223577235772359
