epoch,train_loss,seconds
1,3.2490851928505826,95.27000546455383
2,2.481274081726545,94.8752932548523
3,1.931391779469624,81.0162742137909
4,1.6993157410737227,93.6833610534668
5,1.4632934737489212,95.71567797660828
6,1.221433938390203,95.79394507408142
7,1.1691729527782795,95.84738659858704
8,1.2736447987812844,95.72365641593933
9,1.161444015416767,95.94113087654114
10,1.0691535649661086,95.70746970176697
11,0.9905963446559124,95.49691033363342
12,0.9309932068614195,95.61642026901245
13,0.8991071210132395,95.61008405685425
14,0.9646288285490804,95.73235249519348
15,1.0429920625350402,95.68237686157227
16,1.0103374938704255,95.71901679039001
17,0.974132593532342,95.4921977519989
18,0.945301681796377,88.01706600189209
19,0.9139317146162989,96.10405850410461
20,0.8889600114446213,95.98461437225342
21,0.8644678738212838,95.46994948387146
22,0.8435492416529363,94.98954844474792
23,0.8241933402430911,95.86613535881042
24,0.8093740597281912,95.7231273651123
25,0.7998450511927749,95.65583634376526
26,0.7930766928821159,95.71417927742004
27,0.7895218194082688,95.81368660926819
28,0.9344266514622624,95.71362948417664
29,0.915194349858455,95.82467579841614
30,0.9001614883535494,95.76332974433899
