site_label,model,n,accuracy
31,MACRO_LTD,208,0.6923076923076923
31,MACRO_LTD_FINAL,208,0.9278846153846154
31,LTD_HYBRID_FINAL,208,1.0
34,MICRO_FINAL,232,0.9956896551724138
34,MACRO_XGB,232,0.9224137931034483
34,MACRO_LTD,232,0.9224137931034483
34,MACRO_LTD_FINAL,232,0.9439655172413793
34,LTD_HYBRID_FINAL,232,1.0
35,MICRO_FINAL,240,0.9958333333333333
35,MACRO_XGB,240,0.8541666666666666
35,MACRO_LTD,240,0.8625
35,MACRO_LTD_FINAL,240,0.9
35,LTD_HYBRID_FINAL,240,0.9916666666666667
36,MICRO_FINAL,227,0.9823788546255506
36,MACRO_XGB,227,0.9118942731277533
36,MACRO_LTD,227,0.9383259911894273
36,MACRO_LTD_FINAL,227,0.933920704845815
36,LTD_HYBRID_FINAL,227,0.9955947136563876
37,MICRO_FINAL,242,1.0
37,MACRO_XGB,242,0.8471074380165289
37,MACRO_LTD,242,0.7727272727272727
37,MACRO_LTD_FINAL,242,0.8801652892561983
37,LTD_HYBRID_FINAL,242,0.9917355371900827
39,MICRO_FINAL,240,0.9833333333333333
39,MACRO_XGB,240,0.8416666666666667
39,MACRO_LTD,240,0.8916666666666667
39,MACRO_LTD_FINAL,240,0.8791666666666667
39,LTD_HYBRID_FINAL,240,1.0
40,MICRO_FINAL,240,0.9458333333333333
40,MACRO_XGB,240,0.7916666666666666
40,MACRO_LTD,240,0.7833333333333333
40,MACRO_LTD_FINAL,240,0.7916666666666666
40,LTD_HYBRID_FINAL,240,0.9833333333333333
41,MICRO_FINAL,178,0.9382022471910112
41,MACRO_XGB,178,0.9157303370786517
41,MACRO_LTD,178,0.8932584269662921
41,MACRO_LTD_FINAL,178,0.9213483146067416
41,LTD_HYBRID_FINAL,178,0.9831460674157303
42,MICRO_FINAL,230,0.6130434782608696
42,MACRO_XGB,230,0.8608695652173913
42,MACRO_LTD,230,0.8304347826086956
42,MACRO_LTD_FINAL,230,0.9347826086956522
42,LTD_HYBRID_FINAL,230,0.9347826086956522
43,MICRO_FINAL,230,0.9956521739130435
43,MACRO_XGB,230,0.8913043478260869
43,MACRO_LTD,230,0.8173913043478261
43,MACRO_LTD_FINAL,230,0.908695652173913
43,LTD_HYBRID_FINAL,230,1.0
45,MICRO_FINAL,215,0.986046511627907
45,MACRO_XGB,215,0.7395348837209302
45,MACRO_LTD,215,0.7023255813953488
45,MACRO_LTD_FINAL,215,0.772093023255814
45,LTD_HYBRID_FINAL,215,0.9813953488372092
46,MICRO_FINAL,233,0.9570815450643777
46,MACRO_XGB,233,0.6437768240343348
46,MACRO_LTD,233,0.5407725321888412
46,MACRO_LTD_FINAL,233,0.6523605150214592
46,LTD_HYBRID_FINAL,233,0.9957081545064378
47,MICRO_FINAL,243,0.9876543209876543
47,MACRO_XGB,243,0.7860082304526749
47,MACRO_LTD,243,0.6008230452674898
47,MACRO_LTD_FINAL,243,0.7654320987654321
47,LTD_HYBRID_FINAL,243,0.9876543209876543
48,MICRO_FINAL,199,1.0
48,MACRO_XGB,199,0.6231155778894473
48,MACRO_LTD,199,0.5979899497487438
48,MACRO_LTD_FINAL,199,0.7185929648241206
48,LTD_HYBRID_FINAL,199,1.0
50,MICRO_FINAL,243,0.5061728395061729
50,MACRO_XGB,243,0.5596707818930041
50,MACRO_LTD,243,0.6584362139917695
50,MACRO_LTD_FINAL,243,0.6502057613168725
50,LTD_HYBRID_FINAL,243,0.8559670781893004
51,MICRO_FINAL,198,0.9646464646464646
51,MACRO_XGB,198,0.8333333333333334
51,MACRO_LTD,198,0.7424242424242424
51,MACRO_LTD_FINAL,198,0.8686868686868687
51,LTD_HYBRID_FINAL,198,0.9747474747474747
52,MICRO_FINAL,238,0.9957983193277311
52,MACRO_XGB,238,0.9327731092436975
52,MACRO_LTD,238,0.8949579831932774
52,MACRO_LTD_FINAL,238,0.9537815126050421
52,LTD_HYBRID_FINAL,238,1.0
53,MICRO_FINAL,236,1.0
53,MACRO_XGB,236,0.9194915254237288
53,MACRO_LTD,236,0.9533898305084746
53,MACRO_LTD_FINAL,236,0.9661016949152542
53,LTD_HYBRID_FINAL,236,1.0
54,MICRO_FINAL,245,1.0
54,MACRO_XGB,245,0.9102040816326531
54,MACRO_LTD,245,0.8530612244897959
54,MACRO_LTD_FINAL,245,0.8979591836734694
54,LTD_HYBRID_FINAL,245,1.0
55,MICRO_FINAL,229,0.9912663755458515
55,MACRO_XGB,229,0.9126637554585153
55,MACRO_LTD,229,0.925764192139738
55,MACRO_LTD_FINAL,229,0.9432314410480349
55,LTD_HYBRID_FINAL,229,0.9956331877729258
57,MICRO_FINAL,185,0.9891891891891892
57,MACRO_XGB,185,0.772972972972973
57,MACRO_LTD,185,0.3783783783783784
57,MACRO_LTD_FINAL,185,0.6702702702702703
57,LTD_HYBRID_FINAL,185,0.9945945945945946
6,MICRO_FINAL,211,0.933649289099526
6,MACRO_XGB,211,0.8151658767772512
6,MACRO_LTD,211,0.7677725118483413
6,MACRO_LTD_FINAL,211,0.8530805687203792
6,LTD_HYBRID_FINAL,211,0.976303317535545
60,MICRO_FINAL,243,0.9917695473251029
60,MACRO_XGB,243,0.7407407407407407
60,MACRO_LTD,243,0.7489711934156379
60,MACRO_LTD_FINAL,243,0.8148148148148148
60,LTD_HYBRID_FINAL,243,0.9958847736625515
61,MICRO_FINAL,242,0.9958677685950413
61,MACRO_XGB,242,0.9545454545454546
61,MACRO_LTD,242,0.9504132231404959
61,MACRO_LTD_FINAL,242,0.9669421487603306
61,LTD_HYBRID_FINAL,242,1.0
63,MICRO_FINAL,243,0.9958847736625515
63,MACRO_XGB,243,0.9506172839506173
63,MACRO_LTD,243,0.9218106995884774
63,MACRO_LTD_FINAL,243,0.9670781893004116
63,LTD_HYBRID_FINAL,243,0.9958847736625515
68,MICRO_FINAL,241,0.941908713692946
68,MACRO_XGB,241,0.7925311203319502
68,MACRO_LTD,241,0.7510373443983402
68,MACRO_LTD_FINAL,241,0.8340248962655602
68,LTD_HYBRID_FINAL,241,0.983402489626556
7,MICRO_FINAL,243,0.9753086419753086
7,MACRO_XGB,243,0.8930041152263375
7,MACRO_LTD,243,0.9465020576131687
7,MACRO_LTD_FINAL,243,0.9465020576131687
7,LTD_HYBRID_FINAL,243,0.9835390946502057
71,MICRO_FINAL,242,1.0
71,MACRO_XGB,242,0.9421487603305785
71,MACRO_LTD,242,0.9793388429752066
71,MACRO_LTD_FINAL,242,0.9669421487603306
71,LTD_HYBRID_FINAL,242,1.0
72,MICRO_FINAL,227,0.986784140969163
72,MACRO_XGB,227,0.8193832599118943
72,MACRO_LTD,227,0.7797356828193832
72,MACRO_LTD_FINAL,227,0.8414096916299559
72,LTD_HYBRID_FINAL,227,0.9955947136563876
76,MICRO_FINAL,223,0.9955156950672646
76,MACRO_XGB,223,0.7937219730941704
76,MACRO_LTD,223,0.7937219730941704
76,MACRO_LTD_FINAL,223,0.8385650224215246
76,LTD_HYBRID_FINAL,223,0.9865470852017937
77,MICRO_FINAL,232,0.9655172413793104
77,MACRO_XGB,232,0.7801724137931034
77,MACRO_LTD,232,0.7155172413793104
77,MACRO_LTD_FINAL,232,0.8017241379310345
77,LTD_HYBRID_FINAL,232,0.9612068965517241
78,MICRO_FINAL,242,0.9793388429752066
78,MACRO_XGB,242,0.8553719008264463
78,MACRO_LTD,242,0.8884297520661157
78,MACRO_LTD_FINAL,242,0.9008264462809917
78,LTD_HYBRID_FINAL,242,0.9917355371900827
80,MICRO_FINAL,244,0.9918032786885246
80,MACRO_XGB,244,0.8647540983606558
80,MACRO_LTD,244,0.4385245901639344
80,MACRO_LTD_FINAL,244,0.7622950819672131
80,LTD_HYBRID_FINAL,244,0.9877049180327869
81,MICRO_FINAL,205,0.9804878048780488
81,MACRO_XGB,205,0.8926829268292683
81,MACRO_LTD,205,0.9073170731707317
81,MACRO_LTD_FINAL,205,0.9073170731707317
81,LTD_HYBRID_FINAL,205,0.9902439024390244
86,MICRO_FINAL,239,0.9163179916317992
86,MACRO_XGB,239,0.6485355648535565
86,MACRO_LTD,239,0.5732217573221757
86,MACRO_LTD_FINAL,239,0.6359832635983264
86,LTD_HYBRID_FINAL,239,0.9456066945606695
89,MICRO_FINAL,242,0.9710743801652892
89,MACRO_XGB,242,0.8223140495867769
89,MACRO_LTD,242,0.7603305785123967
89,MACRO_LTD_FINAL,242,0.8429752066115702
89,LTD_HYBRID_FINAL,242,0.9917355371900827
9,MICRO_FINAL,243,0.9958847736625515
9,MACRO_XGB,243,0.7942386831275721
9,MACRO_LTD,243,0.2139917695473251
9,MACRO_LTD_FINAL,243,0.5802469135802469
9,LTD_HYBRID_FINAL,243,0.9876543209876543
90,MICRO_FINAL,151,0.9867549668874173
90,MACRO_XGB,151,0.8807947019867549
90,MACRO_LTD,151,0.9072847682119205
90,MACRO_LTD_FINAL,151,0.9271523178807947
90,LTD_HYBRID_FINAL,151,0.9933774834437086
92,MICRO_FINAL,172,0.9418604651162791
92,MACRO_XGB,172,0.8197674418604651
92,MACRO_LTD,172,0.7616279069767442
92,MACRO_LTD_FINAL,172,0.8546511627906976
92,LTD_HYBRID_FINAL,172,0.9883720930232558
96,MICRO_FINAL,210,0.9523809523809523
96,MACRO_XGB,210,0.8095238095238095
96,MACRO_LTD,210,0.5095238095238095
96,MACRO_LTD_FINAL,210,0.7666666666666667
96,LTD_HYBRID_FINAL,210,0.9666666666666667
97,MICRO_FINAL,227,0.5242290748898678
97,MACRO_XGB,227,0.5330396475770925
97,MACRO_LTD,227,0.5550660792951542
97,MACRO_LTD_FINAL,227,0.5418502202643172
97,LTD_HYBRID_FINAL,227,0.5418502202643172
98,MICRO_FINAL,235,0.9744680851063829
98,MACRO_XGB,235,0.9574468085106383
98,MACRO_LTD,235,0.9574468085106383
98,MACRO_LTD_FINAL,235,0.9617021276595744
98,LTD_HYBRID_FINAL,235,0.9829787234042553
