epoch,train_loss,seconds
1,3.2674028812851037,69.92905259132385
2,2.875341435427165,69.64759349822998
3,2.1720582338327863,69.60302639007568
4,1.3782741816004336,69.65753364562988
5,1.3054723095169383,69.69096398353577
6,1.1330718901934544,69.65209460258484
7,1.0073404127721628,69.65996599197388
8,0.9310192768745,69.7104423046112
9,0.9779898213088841,67.97302985191345
10,1.0161795383658856,66.06124758720398
11,0.9653213977155106,69.73835349082947
12,0.9210142698406515,69.72776627540588
13,0.8835245729151352,69.75878095626831
14,0.8523432707918283,69.73149800300598
15,0.829201174375102,69.64959478378296
16,0.8131539978375092,69.67676401138306
17,0.808528396800078,69.65814876556396
18,0.9228439662667269,69.67334842681885
19,0.9036202821613016,69.75845265388489
20,0.8907581532857695,69.62062788009644
21,0.8704523561738473,69.68361473083496
22,0.8588605860978858,69.69693326950073
23,0.8450918627707339,69.66580820083618
24,0.8292433038930208,69.74661993980408
25,0.8154616514951485,63.74446725845337
26,0.8061072094664389,69.73396015167236
27,0.7948677989330081,69.74347233772278
28,0.7840464834350249,69.85065245628357
29,0.7769722369165052,69.6471815109253
30,0.7696765643786331,69.85106682777405
