model,n,accuracy,macro_f1,top5_accuracy,mrr,mean_true_rank
MICRO_FINAL,14687,0.9500238305984885,0.948180175274726,0.9901954109076053,0.968523090262067,1.2528086062504256
MACRO_XGB,14687,0.8248110573976987,0.8235908812926531,0.9801865595424525,0.8925671061641605,1.424797439912848
MACRO_LTD,14687,0.7603322666303534,0.7536553775737733,0.965343501055355,0.8489475788894487,1.6077483488799618
MACRO_LTD_FINAL,14687,0.8406754272485872,0.8394561233325901,0.9852250289371554,0.9038544161266421,1.3428882685368013
LTD_HYBRID_FINAL,14687,0.9743991284809695,0.9737904935644541,0.998161639545176,0.9852734141629083,1.0479335466739292
