seed,train_loss,n_train_queries,n_train_context_dates,fit_seconds
11,0.6093491754282858,48794,34,13.152710943017155
42,0.597709183071746,48794,34,13.096301155979745
73,0.594471260758679,48794,34,13.231714738998562
