policy,far_fusion_macro_f1,far_delta_fusion_macro_f1,mean_fusion_macro_f1,near_delta_fusion_macro_f1,far_delta_ltd_macro_f1
CONSENSUS_CONF60,0.6034055043419748,-0.008310922806542664,0.6677247658706756,-0.009861109754049968,-0.027132717442944543
CONSENSUS_MARGIN20,0.6045118477360398,-0.007204579412477652,0.6691910511898523,-0.00559770733090903,-0.025249844058549797
CONSENSUS_ONLY,0.6086400872229373,-0.003076339925580207,0.6702161305811215,-0.006055713466099788,-0.018437988745551193
