candidate,method,beta,far_fusion_macro_f1,mean_fusion_macro_f1,far_fusion_accuracy,far_branch_macro_f1
RAY_DIRECTIONAL_BETA0.10,RAY_DIRECTIONAL,0.1,0.6115969617802628,0.6744216052756092,0.6438925494171313,0.511976136922371
RAY_DIRECTIONAL_BETA0.25,RAY_DIRECTIONAL,0.25,0.6112142733347089,0.6738697864128563,0.6437911809427268,0.5113770097078332
RAY_DIRECTIONAL_BETA0.40,RAY_DIRECTIONAL,0.4,0.6105138995452923,0.6728859403967834,0.6431829700963001,0.5113452687270182
RAY_DISTANCE_BETA0.10,RAY_DISTANCE,0.1,0.6112826322046603,0.6743019781046344,0.6434870755195135,0.5115791706464322
RAY_DISTANCE_BETA0.25,RAY_DISTANCE,0.25,0.6117180686959923,0.6739592607490085,0.6442980233147491,0.5108468476888542
RAY_DISTANCE_BETA0.40,RAY_DISTANCE,0.4,0.6105140854780292,0.6726410692793059,0.6429802331474911,0.5104957334105494
