origin,window,n,robust_xgb_accuracy,robust_xgb_macro_f1,robust_xgb_top5,robust_xgb_mrr,robust_macro_accuracy,robust_macro_macro_f1,robust_macro_top5,robust_macro_mrr,delta_xgb_accuracy_vs_uniform,delta_xgb_accuracy_vs_11H,delta_xgb_macro_f1_vs_uniform,delta_xgb_macro_f1_vs_11H,delta_xgb_top5_accuracy_vs_uniform,delta_xgb_top5_accuracy_vs_11H,delta_xgb_mrr_vs_uniform,delta_xgb_mrr_vs_11H,delta_macro_accuracy_vs_uniform,delta_macro_accuracy_vs_11H,delta_macro_macro_f1_vs_uniform,delta_macro_macro_f1_vs_11H,delta_macro_top5_accuracy_vs_uniform,delta_macro_top5_accuracy_vs_11H,delta_macro_mrr_vs_uniform,delta_macro_mrr_vs_11H
ORIGIN14,NEAR,10100,0.7725742574257426,0.7680156487646185,0.9543564356435643,0.8515013002292295,0.7840594059405941,0.7760863304706734,0.95009900990099,0.8572938699481266,0.00108910891089109,-0.005742574257425748,0.00042491786122689224,-0.0054818352514105495,0.0005940594059405946,-0.0006930693069306937,0.0009762974197599084,-0.0032829765955365575,0.0014851485148514865,-0.0001980198019801982,0.0018938857262019715,0.0001637672073734331,0.0026732673267326756,0.002871287128712874,0.0013278046353932815,-0.00011273554937318853
ORIGIN14,MID,9956,0.6592004821213339,0.6320860946955681,0.8730413820811571,0.755127202167122,0.674568099638409,0.6438439599514727,0.8699276817999196,0.7638907657471359,0.0031137002812374748,-0.0042185616713539265,0.003538734058614601,-0.0033536025353254617,0.0005022097227802558,0.00030132583366815346,0.0021340803946846565,-0.0027972379023756266,0.005222981116914438,-0.0010044194455604005,0.005700778537860329,-0.0008900877589026468,0.0014061872237846051,0.0021092808356769632,0.003083739128513896,-0.0002159080634753785
ORIGIN14,FAR,9865,0.6365940192600101,0.6093596238423965,0.8595032944754182,0.7355014065141577,0.6416624429802331,0.6104179602739684,0.8515965534718702,0.7382996241544061,-0.0014191586416624213,-0.008920425747592553,-0.001800487439563625,-0.007893734736644897,-0.001926001013684675,-0.0032437911809426456,-0.0016494970502629602,-0.0066759382215823004,-0.0022301064368981383,-0.0071971616827166685,-0.0012984668745490424,-0.0059789337201188175,0.0012164216928535199,0.00020273694880890147,-0.0011642276260267481,-0.004330272040312888
ORIGIN28,NEAR,9956,0.7793290478103656,0.7652615142779223,0.9594214543993572,0.8569865214954675,0.80614704700683,0.7907868709689415,0.9741864202490961,0.8781506741017153,0.001305745279228554,-0.006026516673362847,0.0010131914895127325,-0.006394560817480466,0.0002008838891121023,-0.0008035355564482982,0.0007728724777468221,-0.003840775113167272,-0.002008838891120912,-0.005926074728806796,-0.0028161234294936666,-0.006582425713873796,-0.0007030936118922471,-0.0014061872237846051,-0.0008248706501783332,-0.0033919439309723076
ORIGIN28,MID,10162,0.7551663058453061,0.7382968017686319,0.9444991143475694,0.8359551400014565,0.7827199370202716,0.7649094690255732,0.9633930328675457,0.8581529374973059,0.0010824640818737352,-0.004034638850619943,0.0009439989940029925,-0.003909112189669162,0.002558551466246839,9.840582562492539e-05,0.0015849938276863984,-0.0023609155053768704,0.0005904349537493303,-0.003345798071245798,0.00037790164155304673,-0.002994916700805317,0.0004920291281244049,-0.0017713048612477689,0.0006700636469273435,-0.0017516019298671193
ORIGIN28,FAR,9047,0.7615784237868907,0.7479345402438672,0.944954128440367,0.8411109087970495,0.7779374378246933,0.7631167461185088,0.9566707195755499,0.8537749161053783,0.0007737371504366042,-0.006410964960760435,0.0010993325360645345,-0.006083504127504691,-0.0001105338786338006,-0.001105338786338006,0.0006877901060848846,-0.0042766510134301106,0.0019896098154084108,-0.0008842710290704048,0.002982747592147228,0.00024825072408329873,0.0001105338786338006,-0.0001105338786338006,0.0015299947515008405,-0.00034519999391369183
