origin,window,delta_ltd_accuracy,delta_ltd_macro_f1,delta_ltd_top5_accuracy,delta_ltd_mrr,delta_fusion_accuracy,delta_fusion_macro_f1,delta_fusion_top5_accuracy,delta_fusion_mrr
ORIGIN14,NEAR,0.008217821782178225,0.015745835333295766,0.003168316831683171,0.006179429740062692,-0.0008910891089108919,0.001316605116492009,0.001980198019801982,-4.046351134934234e-05
ORIGIN14,MID,0.004017677782241824,0.012395728887683699,-0.004419445560466029,0.0024138487142603138,0.0007030936118923581,0.0028867895518099873,-0.003214142225793526,-0.00018255766752395264
ORIGIN14,FAR,0.003446528129751658,0.009350041360503103,0.002635580334515941,0.0027276437741005077,0.0011150532184490691,0.002869409500328879,-0.0005068423720222537,0.0003171081629159689
ORIGIN28,NEAR,0.008336681398151802,0.008975661543748958,-0.001305745279228554,0.0041576865678431,-0.001305745279228554,-0.0031735887676942465,-0.002611490558457219,-0.00165747369858249
ORIGIN28,MID,0.00895493013186377,0.009074804590607388,-0.004329856327494608,0.0035723270541071495,-0.0016728990356228435,-0.0026968286388433516,-0.0032473922456208726,-0.0017042626814970374
ORIGIN28,FAR,0.019232894882281415,0.020000313235433276,-0.001658008179507009,0.01155360907114289,0.0039792196308168215,0.003807758795651428,-0.0025422792085774137,0.002029411437628803
