candidate,far_macro_f1,mean_macro_f1,far_xgb_macro_f1,near_macro_f1
TEMPORAL_RECENCY2,0.6158393889983663,0.6796122742129374,0.6167106991524665,0.7778060296823207
TEMPORAL_SYMMETRIC3,0.6163968939940873,0.6790178349892542,0.6172533585790414,0.7759225632633
UNIFORM,0.6117164271485175,0.674684017768867,0.6111601112819601,0.7741924447444715
