origin,window,first_day_max_probability_difference,delta_ltd_accuracy,delta_ltd_macro_f1,delta_ltd_top5_accuracy,delta_ltd_mrr,delta_fusion_accuracy,delta_fusion_macro_f1,delta_fusion_top5_accuracy,delta_fusion_mrr
ORIGIN14,NEAR,0.0,0.0003960396039603964,0.0045990980261635395,0.01534653465346536,0.005593912082669239,0.009603960396039612,0.011242462745778226,0.01198019801980199,0.010624854778356285
ORIGIN14,MID,0.0,0.03344716753716348,0.039817366568231094,0.04851345922057049,0.03734647354646736,0.022800321414222613,0.01992111196710189,0.040277219766974626,0.025191969899602706
ORIGIN14,FAR,0.0,0.042473390775468856,0.04690512739654751,0.06183476938672072,0.046613973353833105,0.02574759249873293,0.02157531091033893,0.044906234161175895,0.028254547954227216
ORIGIN28,NEAR,0.0,0.00030132583366804244,0.002837741247264436,0.0023101647247890655,0.002224672060931576,0.00542386500602654,0.007086046352658193,0.002008838891120912,0.004119080388408802
ORIGIN28,MID,0.0,0.019582759299350494,0.02887764148359251,0.012103916551859939,0.018571518832817713,0.011021452469986204,0.012810132026943477,0.00836449517811455,0.010396947955926827
ORIGIN28,FAR,0.0,0.01812755609594341,0.026336594943450864,0.021333038576323626,0.019107941668215278,0.010721786227478658,0.011272295975362834,0.00917431192660545,0.010639046148274267
