origin,candidate,window,delta_xgb_accuracy,delta_xgb_macro_f1,delta_xgb_top5_accuracy,delta_xgb_mrr,delta_macro_accuracy,delta_macro_macro_f1,delta_macro_top5_accuracy,delta_macro_mrr
ORIGIN14,TEMPORAL_SYMMETRIC3,NEAR,0.006831683168316838,0.005906753112637442,0.0012871287128712883,0.004259274015296466,0.0016831683168316847,0.0017301185188285384,-0.0001980198019801982,0.00144054018476647
ORIGIN14,TEMPORAL_SYMMETRIC3,MID,0.007332261952591401,0.006892336593940063,0.0002008838891121023,0.004931318297060283,0.0062274005624748385,0.006590866296762976,-0.0007030936118923581,0.0032996471919892745
ORIGIN14,TEMPORAL_SYMMETRIC3,FAR,0.007501267105930132,0.006093247297081272,0.0013177901672579706,0.00502644117131934,0.00496705524581853,0.004680466845569775,0.0010136847440446184,0.00316604441428614
ORIGIN28,TEMPORAL_SYMMETRIC3,NEAR,0.007332261952591401,0.007407752306993198,0.0010044194455604005,0.004613647590914094,0.003917235837685884,0.0037663022843801297,0.0007030936118923581,0.0025670732807939745
ORIGIN28,TEMPORAL_SYMMETRIC3,MID,0.005117102932493678,0.004853111183672154,0.0024601456406219135,0.003945909333063269,0.003936233024995128,0.0033728183423583635,0.0022633339893721738,0.002421665576794463
ORIGIN28,TEMPORAL_SYMMETRIC3,FAR,0.007184702111197039,0.007182836663569225,0.0009948049077042054,0.004964441119514995,0.0028738808444788155,0.0027344968680639292,0.0002210677572676012,0.0018751947454145323
