origin,window,variant,n,ltd_accuracy,ltd_macro_f1,ltd_top5_accuracy,ltd_mrr,ltd_mean_true_rank,fusion_accuracy,fusion_macro_f1,fusion_top5_accuracy,fusion_mrr,fusion_mean_true_rank
ORIGIN14,NEAR,FROZEN_RECENT5,10100,0.6730693069306931,0.6564588921105544,0.9215841584158416,0.7813516628318452,2.882178217821782,0.7825742574257426,0.7741924447444715,0.9474257425742574,0.8559660653127333,2.1963366336633663
ORIGIN14,NEAR,ORACLE_REFRESH_RECENT5,10100,0.6734653465346535,0.661057990136718,0.936930693069307,0.7869455749145144,2.413069306930693,0.7921782178217822,0.7854349074902497,0.9594059405940594,0.8665909200910896,1.9082178217821781
ORIGIN14,MID,FROZEN_RECENT5,9956,0.569003615910004,0.5399899025322398,0.8552631578947368,0.694918097142373,4.959823222177581,0.6693451185214946,0.6381431814136124,0.868521494576135,0.760807026618622,4.310666934511852
ORIGIN14,MID,ORACLE_REFRESH_RECENT5,9956,0.6024507834471675,0.5798072691004709,0.9037766171153073,0.7322645706888403,3.0894937725994374,0.6921454399357172,0.6580642933807143,0.9087987143431097,0.7859989965182247,2.8456207312173563
ORIGIN14,FAR,FROZEN_RECENT5,9865,0.5391789153573239,0.5110879997922403,0.8253421186011151,0.667220105272882,5.2616320324379116,0.6438925494171313,0.6117164271485175,0.8503801317790167,0.7394638517804328,4.52022301064369
ORIGIN14,FAR,ORACLE_REFRESH_RECENT5,9865,0.5816523061327927,0.5579931271887878,0.8871768879878358,0.7138340786267151,3.2818043588443992,0.6696401419158642,0.6332917380588564,0.8952863659401926,0.76771839973466,2.998682209832742
ORIGIN28,NEAR,FROZEN_RECENT5,9956,0.7266974688629972,0.7104353806569518,0.9607271996785858,0.8264177988169216,1.7774206508638006,0.808155885897951,0.7936029943984352,0.9748895138609883,0.8789755447518937,1.4900562474889514
ORIGIN28,NEAR,ORACLE_REFRESH_RECENT5,9956,0.7269987946966653,0.7132731219042162,0.9630373644033748,0.8286424708778531,1.7277018883085578,0.8135797509039775,0.8006890407510934,0.9768983527521092,0.8830946251403025,1.4640417838489352
ORIGIN28,MID,FROZEN_RECENT5,10162,0.6937610706553828,0.6748047699599979,0.951190710490061,0.8017596455618999,1.8582956111001772,0.7821295020665223,0.7645315673840202,0.9629010037394213,0.8574828738503786,1.629600472347963
ORIGIN28,MID,ORACLE_REFRESH_RECENT5,10162,0.7133438299547333,0.7036824114435904,0.9632946270419209,0.8203311643947176,1.7227907892147216,0.7931509545365085,0.7773416994109636,0.9712654989175359,0.8678798218063054,1.5428065341468216
ORIGIN28,FAR,FROZEN_RECENT5,9047,0.669614236763568,0.6479322523756667,0.9316900630043108,0.7812902591232259,2.0399027301868022,0.7759478280092849,0.7601339985263615,0.9565601856969161,0.8522449213538774,1.6786780148115397
ORIGIN28,FAR,ORACLE_REFRESH_RECENT5,9047,0.6877417928595114,0.6742688473191175,0.9530231015806344,0.8003982007914412,1.8356361224715376,0.7866696142367635,0.7714062945017244,0.9657344976235216,0.8628839675021517,1.580634464463358
