origin,epoch,loss
ORIGIN14,1.0,3.308792061805725
ORIGIN14,2.0,2.6296866750717163
ORIGIN14,3.0,2.5492429828643797
ORIGIN14,4.0,2.448028383255005
ORIGIN14,5.0,2.370821681022644
ORIGIN14,6.0,2.310196671485901
ORIGIN14,7.0,2.2536729407310485
ORIGIN14,8.0,2.1983950257301332
ORIGIN14,9.0,2.2111244773864747
ORIGIN14,10.0,2.184743056297302
ORIGIN14,11.0,2.161722228527069
ORIGIN14,12.0,2.1151556515693666
ORIGIN14,13.0,2.124201650619507
ORIGIN14,14.0,2.068745138645172
ORIGIN14,15.0,2.044475803375244
ORIGIN14,16.0,2.0745226645469668
ORIGIN14,17.0,2.034122500419617
ORIGIN14,18.0,2.0043420577049256
ORIGIN14,19.0,1.9626831030845642
ORIGIN14,20.0,1.9719537615776062
ORIGIN28,1.0,3.5226816177368163
ORIGIN28,2.0,2.844875683784485
ORIGIN28,3.0,2.762008900642395
ORIGIN28,4.0,2.6490368366241457
ORIGIN28,5.0,2.5884074449539183
ORIGIN28,6.0,2.4668278741836547
ORIGIN28,7.0,2.519601807594299
ORIGIN28,8.0,2.4142345666885374
ORIGIN28,9.0,2.3573889780044555
ORIGIN28,10.0,2.395007486343384
ORIGIN28,11.0,2.331670002937317
ORIGIN28,12.0,2.3236055183410644
ORIGIN28,13.0,2.264369773864746
ORIGIN28,14.0,2.2808084964752195
ORIGIN28,15.0,2.2598441219329835
ORIGIN28,16.0,2.220565800666809
ORIGIN28,17.0,2.2208792400360107
ORIGIN28,18.0,2.231680979728699
ORIGIN28,19.0,2.1944928622245787
ORIGIN28,20.0,2.173489661216736
