candidate,window,xgb_accuracy,xgb_macro_f1,xgb_top5_accuracy,xgb_mrr,xgb_mean_true_rank,macro_accuracy,macro_macro_f1,macro_top5_accuracy,macro_mrr,macro_mean_true_rank
UNIFORM,NEAR,0.7714851485148515,0.7675907309033916,0.9537623762376237,0.8505250028094696,2.0917821782178216,0.7825742574257426,0.7741924447444715,0.9474257425742574,0.8559660653127333,2.1963366336633663
UNIFORM,MID,0.6560867818400964,0.6285473606369535,0.8725391723583769,0.7529931217724374,4.12525110486139,0.6693451185214946,0.6381431814136124,0.868521494576135,0.760807026618622,4.310666934511852
UNIFORM,FAR,0.6380131779016726,0.6111601112819601,0.8614292954891029,0.7371509035644207,4.504308160162189,0.6438925494171313,0.6117164271485175,0.8503801317790167,0.7394638517804328,4.52022301064369
TEMPORAL_SYMMETRIC3,NEAR,0.7783168316831683,0.773497484016029,0.955049504950495,0.8547842768247661,2.068019801980198,0.7842574257425743,0.7759225632633,0.9472277227722772,0.8574066054974998,2.189009900990099
TEMPORAL_SYMMETRIC3,MID,0.6634190437926878,0.6354396972308936,0.872740056247489,0.7579244400694977,4.040980313378867,0.6755725190839694,0.6447340477103753,0.8678184009642427,0.7641066738106113,4.28505423865006
TEMPORAL_SYMMETRIC3,FAR,0.6455144450076027,0.6172533585790414,0.8627470856563608,0.74217734473574,4.427977698935631,0.6488596046629498,0.6163968939940873,0.8513938165230613,0.742629896194719,4.485960466294983
TEMPORAL_RECENCY2,NEAR,0.7783168316831683,0.7740554592758594,0.9535643564356435,0.8544354016437704,2.070990099009901,0.7858415841584159,0.7778060296823207,0.9478217821782178,0.8580994539067852,2.18990099009901
TEMPORAL_RECENCY2,MID,0.6634190437926878,0.6361960341570838,0.8731418240257132,0.7579850890125989,4.075030132583366,0.6752711932503013,0.645191403958125,0.8680192848533548,0.7641058379523719,4.298413017276014
TEMPORAL_RECENCY2,FAR,0.6448048656867714,0.6167106991524665,0.8621388748099341,0.7414875652418392,4.474809934110492,0.6479472883933097,0.6158393889983663,0.8513938165230613,0.7419145193143165,4.507551951343133
