candidate,method,beta,far_fusion_macro_f1,far_fusion_accuracy,mean_fusion_macro_f1,near_fusion_macro_f1,far_branch_macro_f1
DUALANCHOR_BETA0.25,DUALANCHOR,0.25,0.611125924299259,0.6436898124683224,0.6730800043694657,0.7730647542916704,0.507104402374909
DUALANCHOR_BETA0.50,DUALANCHOR,0.5,0.6100788509454962,0.6425747592498733,0.6711621823131099,0.7712154587450564,0.4959208603869958
DUALANCHOR_BETA0.75,DUALANCHOR,0.75,0.6093605939162108,0.6404460212873796,0.6681552332604269,0.7647489399302562,0.45538029765178534
LONGTERM_BETA0.25,LONGTERM,0.25,0.6111941060854367,0.6437911809427268,0.6731377038228458,0.7730759147163303,0.5076491716274877
LONGTERM_BETA0.50,LONGTERM,0.5,0.6087695308505127,0.6414597060314242,0.6704119888560959,0.7707161811000497,0.4956166274704249
LONGTERM_BETA0.75,LONGTERM,0.75,0.6069156103754925,0.6388241256969083,0.6674897468184996,0.7662621814887175,0.4553217101782193
