origin,candidate,window,delta_branch_accuracy,delta_branch_macro_f1,delta_branch_top5_accuracy,delta_branch_mrr,delta_fusion_accuracy,delta_fusion_macro_f1,delta_fusion_top5_accuracy,delta_fusion_mrr
ORIGIN14,LONGTERM_BETA0.25,NEAR,-0.0012871287128712883,-0.0004487326477746745,-0.0023762376237623783,-0.000901103504800771,-0.0012871287128712883,-0.0011165300281411605,0.0011881188118811892,-0.0002287181765535662
ORIGIN14,LONGTERM_BETA0.25,MID,0.0008035355564484092,0.0012526238380593524,0.0018079550020088098,0.000751866028828263,-0.003214142225793526,-0.0030000907468420435,-0.0022097227802330144,-0.0020992428350014025
ORIGIN14,LONGTERM_BETA0.25,FAR,-0.0033451596553472074,-0.0034388281647526053,-0.001520527116066872,-0.002065926667272344,-0.00010136847440445074,-0.0005223210630808106,0.0006082108464268154,9.772378632599832e-05
ORIGIN28,LONGTERM_BETA0.25,NEAR,-0.004519887505022191,-0.005006230452835547,-0.0015066291683406563,-0.0029605024413995595,-0.004017677782241824,-0.0040371318291620995,-0.002611490558457219,-0.002929203022204341
ORIGIN28,LONGTERM_BETA0.25,MID,-0.007675654398740406,-0.008560076303956499,-0.0006888407793741447,-0.00452933088182339,-0.003641015548120463,-0.0041615334625905165,-0.002066522338122323,-0.002694550146751129
ORIGIN28,LONGTERM_BETA0.25,FAR,-0.0036476179949154197,-0.003795951910287587,-0.0014369404222394078,-0.001669089792915912,0.0003316016359014018,0.0004647400497735932,-0.000552669393169003,0.00033935351810399084
