origin,candidate,window,delta_branch_accuracy,delta_branch_macro_f1,delta_branch_top5_accuracy,delta_branch_mrr,delta_fusion_accuracy,delta_fusion_macro_f1,delta_fusion_top5_accuracy,delta_fusion_mrr
ORIGIN14,RAY_DISTANCE_BETA0.25,NEAR,-0.0007920792079207928,0.0017052253383239568,-0.0001980198019801982,-0.00041367723786489563,0.0,0.0003504585080255085,0.0016831683168316847,0.00045864169072074024
ORIGIN14,RAY_DISTANCE_BETA0.25,MID,0.003816793893129722,0.0066300639236639425,-0.00010044194455605115,0.001869632126248466,-0.002611490558457219,-0.0025263711150762536,-0.002611490558457219,-0.0018069725418383698
ORIGIN14,RAY_DISTANCE_BETA0.25,FAR,-0.002331474911302589,-0.0002411521033860442,-0.0009123162696401677,-0.0012949986648309597,0.00040547389761780295,1.6415474748399106e-06,0.00040547389761780295,0.0002973982134472086
ORIGIN28,RAY_DISTANCE_BETA0.25,NEAR,-0.0021092808356770743,-0.002663549824176936,0.0007030936118923581,-0.0008624431354742335,-0.0012053033346725028,-0.0008011031586542261,-0.001305745279228554,-0.0012750270518506746
ORIGIN28,RAY_DISTANCE_BETA0.25,MID,-0.0031489864199960582,-0.0035536276865965055,0.0007872466049990701,-0.001368471596588594,-0.0011808699074985496,-0.0014521917783424376,-0.0017713048612477689,-0.0011807323658427071
ORIGIN28,RAY_DISTANCE_BETA0.25,FAR,-0.0004421355145352024,-0.00042482511863994876,0.0001105338786338006,-6.814001854515972e-05,0.001658008179507009,0.0020983143274156957,-0.0001105338786338006,0.0013527762286940082
