origin,seed,train_loss,n_train_queries,n_train_context_dates,skipped_train_dates,fit_seconds
ORIGIN14,11,0.7648822616221146,9976,7,7,3.2407066279556602
ORIGIN14,42,0.7951523242958948,9976,7,7,3.0453828080790117
ORIGIN14,73,0.7850264674104875,9976,7,7,2.8554819469572976
ORIGIN28,11,0.6683772275383051,30136,21,7,7.649953144020401
ORIGIN28,42,0.6485885247580246,30136,21,7,7.685007208958268
ORIGIN28,73,0.6609430584650094,30136,21,7,7.095056315069087
