origin,site_label,history_days,trajectory_norm,velocity_consistency_raw,velocity_consistency_clipped
ORIGIN14,0,14,1.4747063993386031,-0.6125572391324956,0.0
ORIGIN14,10,14,1.5218442102801335,-0.5421613270663446,0.0
ORIGIN14,102,14,3.24068357995842,-0.04082153059821232,0.0
ORIGIN14,104,14,1.6703354684907543,-0.6963350670689321,0.0
ORIGIN14,105,14,3.1430787951204375,-0.35772750773777123,0.0
ORIGIN14,106,14,3.657444571280985,-0.46659978640782257,0.0
ORIGIN14,107,14,3.9793228586434854,0.029394732911345044,0.029394732911345044
ORIGIN14,108,14,1.4826377422897719,-0.17965546391932255,0.0
ORIGIN14,109,14,2.0215456498210242,-0.2514868254138445,0.0
ORIGIN14,11,14,4.2776591788948855,-0.27766129568718856,0.0
ORIGIN14,110,14,4.237601570609887,-0.7977576264051823,0.0
ORIGIN14,113,14,1.3875609448163613,-0.2561056651579766,0.0
ORIGIN14,117,12,2.4059127074033384,-0.6528641605182813,0.0
ORIGIN14,12,14,1.1586300856125553,-0.2669929318890272,0.0
ORIGIN14,14,14,1.0174197179058129,-0.7859383675484217,0.0
ORIGIN14,18,14,1.576523924480165,-0.791071105761911,0.0
ORIGIN14,2,14,5.599585777715245,-0.06042885784089596,0.0
ORIGIN14,21,14,2.3355843422249905,-0.4335895859005901,0.0
ORIGIN14,24,14,1.689636926863005,-0.7014574972961608,0.0
ORIGIN14,25,14,1.789081121525375,-0.3424514916546375,0.0
ORIGIN14,27,14,3.0567557862421397,-0.35823421237286973,0.0
ORIGIN14,28,14,1.8329595593457317,-0.9040939402777712,0.0
ORIGIN14,29,14,2.4090914839968454,-0.414194582180521,0.0
ORIGIN14,31,14,1.7998064551800932,-0.3342566017521761,0.0
ORIGIN14,34,14,2.2232260422084216,-0.49828928062774114,0.0
ORIGIN14,35,14,2.299932541872266,-0.4608601253057483,0.0
ORIGIN14,36,14,2.627380884220453,-0.17051027581074238,0.0
ORIGIN14,37,14,1.954188801003203,-0.5586654797391393,0.0
ORIGIN14,39,14,1.8663837452943766,-0.3529834149085102,0.0
ORIGIN14,40,14,1.9241106899055171,-0.960994095325376,0.0
ORIGIN14,41,14,3.265169729375583,-0.46275012566230905,0.0
ORIGIN14,42,14,4.468048885545745,-0.33093473106538274,0.0
ORIGIN14,43,14,1.88979994964344,-0.8645869673793954,0.0
ORIGIN14,45,14,1.2422946446798875,-0.9178003952942068,0.0
ORIGIN14,46,14,4.737463668320491,0.032341337755518215,0.032341337755518215
ORIGIN14,47,14,1.50384652205055,-0.8740254463208718,0.0
ORIGIN14,48,14,3.909003247542988,-0.014180873812553651,0.0
ORIGIN14,50,14,1.5956614777453166,-0.7942224752661431,0.0
ORIGIN14,51,14,1.926256286290005,-0.8180966029765395,0.0
ORIGIN14,52,14,0.9049658770830431,-0.944907850178327,0.0
ORIGIN14,53,14,1.0222241922578423,-0.7721613963864857,0.0
ORIGIN14,54,14,1.441364044107939,-0.8493495189518399,0.0
ORIGIN14,55,14,1.22048521094192,-0.46660670152963835,0.0
ORIGIN14,57,14,5.8612930456602825,-0.26764210404613115,0.0
ORIGIN14,6,14,2.2700268592140134,-0.878086289459323,0.0
ORIGIN14,60,14,3.1918576936932554,-0.18896766954057315,0.0
ORIGIN14,61,14,2.4978176395404046,-0.4105565451953321,0.0
ORIGIN14,63,12,4.505232557988864,-0.3789018356296925,0.0
ORIGIN14,68,14,1.8226436418551692,-0.2841465851756948,0.0
ORIGIN14,7,14,0.9585323235394556,-0.613932885114351,0.0
